"Human judgment label (1 represents successful removal of bias, 0 represents failure of neutralization)",Source Text,Predicted Neutral Text,True Neutral Text
,"he spent the 2012 postseason on the physically unable to perform list as the cardinals won the 2012 nlds against the washington nationals in a fantastic 9th inning comeback, but lost the 2012 nlcs , in a fantastic 3-1 comeback, against the san francisco giants.",he spent the 2012 postseason on the physically unable to perform list as the cardinals won the 2012 nlds against the washington nationals but lost the 2012 nlcs against the san francisco giants.,he spent the 2012 postseason on the physically unable to perform list as the cardinals won the 2012 nlds against the washington nationals but lost the 2012 nlcs against the san francisco giants.
,dubai ladies club is an ultra exclusive private members club for women.,dubai ladies club is a private members club for women.,dubai ladies club is a private members club for women.
,"however, the only other person buried there was ussishkin himself, who died in 1941. a national leaders plot was established on mount herzl after the founding of the state in 1948, in part because mount scopus became an enclave in jordanian- ruled territory.","however, the only other person buried there was ussishkin himself, who died in 1941. a national leaders plot was established on mount herzl after the founding of the state in 1948, in part because mount scopus became an enclave in jordanian- controlled territory.","however, the only other person buried there was ussishkin himself, who died in 1941. a national leaders plot was established on mount herzl after the founding of the state in 1948, in part because mount scopus became an enclave in jordanian- occupied territory."
,"keith olbermann (born january 27, 1959) is the best american news anchor, commentator and radio sportscaster.","keith olbermann (born january 27, 1959) is an american news anchor, commentator and radio sportscaster.","keith olbermann (born january 27, 1959) is the american news anchor, commentator and radio sportscaster."
,the united states of america was a progressive rock and psychedelic band whose works are an intriguing example of early electronic music in rock and roll.,the united states of america was a progressive rock and psychedelic band whose works are often considered an example of early electronic music in rock and roll.,the united states of america was a progressive rock and psychedelic band whose works are an example of early electronic music in rock and roll.
,"the panacea society is a basically harmless christian cult based in bedford, england who send out cure-alls and wish to promote the work of joanne southcott.","the panacea society is a christian cult based in bedford, england who send out cure-alls and wish to promote the work of joanne southcott.","the panacea society is christian -based cult based in bedford, england which sends out cure-alls and which wishes to promote the work of joanne southcott."
,- short: fc porto or fcp - is a portuguese sports club best known for its footballing wonders .,- short: fc porto or fcp - is a portuguese sports club best known for its footballing team .,- short: fc porto or fcp - is a portuguese sports club best known for its footballing endeavors .
,"it is known by various names — for example, the united states' past conscription program was known colloquially as ""the draft"".","it may be known by various other names — for example, the united states' past conscription program was known colloquially as ""the draft"".","it is known by various other names — for example, the united states' past conscription program was known colloquially as ""the draft""."
,"over the next few years, the nutrition foundation funded and designed several small studies carefully crafted to show that the diet produced little effect.","over the next few years, the nutrition foundation funded and designed several small studies , each concluding that the diet produced little effect.","over the next few years, the nutrition foundation funded and designed several small studies , each concluding that the diet produced little effect."
,"robert silverberg (born january 15, 1935) is a prolific american author, best known for writing science fiction.","robert silverberg (born january 15, 1935) is a author, best known for writing science fiction.","robert silverberg (born january 15, 1935) is a american author, best known for writing science fiction."
,spiegel came briefly to hollywood in 1927 following a stint serving with hashomer hatzair in palestine.,spiegel worked briefly in hollywood in 1927 following a stint serving with hashomer hatzair in mandate palestine.,spiegel worked briefly in hollywood in 1927 following a stint serving with hashomer hatzair in palestine.
,"congressman dick zimmer stated , and rightfully so , ""i believe he is exactly the kind of predator that the legislature had in mind when it enacted the death penalty.""","congressman dick zimmer stated, ""i believe he is exactly the kind of predator that the legislature had in mind when it enacted the death penalty.""","congressman dick zimmer stated, ""i believe he is exactly the kind of predator that the legislature had in mind when it enacted the death penalty."""
,"some of those remaining, like in edinburgh, have been converted into high street coffee bars, though the city has many dozens remaining untouched - sadly in various states of disrepair.","some of those remaining, like in edinburgh, have been converted into high street coffee bars, though the city has many dozens remaining untouched - in various states of disrepair.","some of those remaining, like in edinburgh, have been converted into high street coffee bars, though the city has many dozens remaining untouched , most in various states of disrepair."
,"it was founded by a dozen conservatives of immense wealth , most notably sheldon adelson, who donated almost all of its initial funding.","it was founded by a 12 conservatives of immense wealth , most notably sheldon adelson, who donated almost all of its initial funding.","it was founded by a 12 people , most notably sheldon adelson, who donated almost all of its initial funding."
,"2012 also saw cwnn contribute the opening track to a remix album from the legendary german band s.y.p.h., which features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others.","2012 also saw cwnn contribute the opening track to a remix album from the german band s.y.p.h., which features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others.","2012 also saw cwnn contribute the opening track to a remix album from the german band s.y.p.h., which features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others."
,"lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : a multi faceted personality who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir.",a serving indian army officer who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir.,"lt. colonel gopakumar pallikalathu, ma,mba,pgdm - a serving indian army officer : an army officer who travelled throughout india and an active participant in curbing the terrorism in jammu and kashmir."
,"on 12 may 2007, at the party's first ard fheis, its members voted to become a fully-fledged political party , and at its 2009 ard fheis passed a motion to "" register irg as a political party with the relevant authority within the twenty-six counties"" .","on 12 may 2007, at the party's first ard fheis, its members voted to become a fully-fledged political party , and at its 2009 ard fheis passed a motion to "" register irg as a political party with the relevant authority within the twenty-six counties"" .","on 12 may 2007, at the party's first ard fheis, its members voted to become a fully-fledged political party , and at its 2009 ard fheis passed a motion to register as a political party in ireland ."
,"this situation had forced the show's creator, irna phillips to quit the show in her typical fury .","this situation had forced the show's creator, irna phillips to quit the show.","this situation had forced the show's creator, irna phillips to quit the show."
,"with few exceptions (such as robert m. price), scholars in the fields of biblical studies and history agree that jesus was a jewish teacher from galilee who was regarded as a healer, was baptized by john the baptist, was accused of sedition against the roman empire, and on the orders of roman governor pontius pilate was sentenced to death by crucifixion.","with a few exceptions (such as robert m. price), scholars in the fields of biblical studies and history agree that jesus was a jewish teacher from galilee who was regarded as a healer, was baptized by john the baptist, was accused of sedition against the roman empire, and on the orders of roman governor pontius pilate was sentenced to death by crucifixion.","with a number of exceptions (such as robert m. price), scholars in the fields of biblical studies and history agree that jesus was a jewish teacher from galilee who was regarded as a healer, was baptized by john the baptist, was accused of sedition against the roman empire, and on the orders of roman governor pontius pilate was sentenced to death by crucifixion."
,"the trail continues along the ridge, affording spectacular views of the surrounding palouse country before dropping back into the forest.","the trail continues along the ridge, affording extensive views of the surrounding palouse country before dropping back into the forest.","the trail continues along the ridge, affording views of the surrounding palouse country before dropping back into the forest."
,"marriage on april fools' day is not , however, a good idea for a man, for he will be permanently ruled by his wife.","another myth is that marriage on april fools' day is not a good idea for a man, for he will be permanently ruled by his wife.","another myth is that marriage on april fools' day is not a good idea for a man, for he will be permanently ruled by his wife."
,"careful marketing made the brand synonymous with understated, sexy, classic casual wear.","careful marketing made the brand known for understated, sexy, classic casual wear.","careful marketing promoted the clothing as understated, sexy, classic casual wear."
,the new testament or the aramaic scriptures is the name given to the part of the christian bible that was written after the birth of jesus christ.,"the practice of using bc and ad was first proposed in the 6th century by dionysius exiguus, in the christian church but the days themselves were changed at some point after six hundred years later.",the new testament or the greek scriptures is the name given to the part of the christian bible that was written after the birth of jesus christ.
,"independent schools, as compared with maintained schools, are generally characterised by more individual teaching by better teachers ; much better pupil-teacher ratios at around 9:1. ; longer teaching hours (sometimes including saturday morning teaching) and homework, though shorter terms; more time for organised sports and extra-curricular activities; more emphasis on traditional academic subjects such as maths, classics and modern languages; a broader view of education than that prescribed by the national curriculum, to which state school education is in practice limited; more emphasis on achievement, whether academic, sporting, musical, dramatic, artistic, or otherwise; and historical buildings and school traditions.",the only thing that can be considered definitely better in independent schools is the fact that they have more individual teaching by better teachers; much better pupil-teacher ratios at around 9:1.,"independent schools, as compared with maintained schools, are generally characterised by more individual teaching; much better pupil-teacher ratios at around 9:1. ; longer teaching hours (sometimes including saturday morning teaching) and homework, though shorter terms; more time for organised sports and extra-curricular activities; more emphasis on traditional academic subjects such as maths, classics and modern languages; a broader view of education than that prescribed by the national curriculum, to which state school education is in practice limited; more emphasis on achievement, whether academic, sporting, musical, dramatic, artistic, or otherwise; and historical buildings and school traditions."
,robert gabriel mugabe kcb (born 21 february 1924) is the dictator president of zimbabwe.,robert gabriel mugabe kcb (born 21 february 1924) is the current president of zimbabwe.,robert gabriel mugabe kcb (born 21 february 1924) is the president of zimbabwe.
,"buffalo dreams film festival aka buffalo dreams fantastic film festival was founded by chris scioli and gregory lamberson, an award winning author and filmmaker.","bufflo dreams was founded by chris scioli and gregory lamberson, an award winning author and filmmaker.","buffalo dreams film festival was founded by chris scioli and gregory lamberson, an award winning author and filmmaker."
,the new discovery of rnai has some promise in curing als.,the new discovery of rnai has some promise in treating als.,the new discovery of rnai has some promise in treating als.
,the u.s. government represents not the interests of the majority of citizens but those of the rich and powerful .,the u.s. government is at risk of representing of the rich and powerful rather than the interests of the majority of citizens .,the u.s. government is at risk of representing of the rich and powerful rather than the interests of the majority of citizens .
,thompson was later awarded a position as health and human services secretary under president george w. bush.,thompson later served as health and human services secretary under president george w. bush.,thompson later served as health and human services secretary under president george w. bush.
,"and tonight that is a privilege we share with newly-elected leaders of afghanistan, the palestinian territories, ukraine, and a free and sovereign iraq,"" a reference to the first truly democratic , and relatively fair and free, elections that took place in the respective nations.","and tonight that is a privilege we share with newly-elected leaders of afghanistan, the palestinian territories, ukraine, and a free and sovereign iraq,"" a reference to the first democratic elections that took place in the respective nations.","and tonight that is a privilege we share with newly-elected leaders of afghanistan, the palestinian territories, ukraine, and a free and sovereign iraq,"" a reference to the first truly democratic elections that took place in the respective nations."
,"since 2009, bakrie serves as the chairman of the golkar party and is poised to become its nominee for the indonesian presidential election, 2014.","since 2009, bakrie serves as the chairman of the golkar party and is a candidate for the indonesian presidential election, 2014.","since 2009, bakrie serves as the chairman of the golkar party and is running to become its nominee for the indonesian presidential election, 2014."
,list of gaza flotilla survivors,list of gaza flotilla partisans,list of gaza flotilla participants
,"his role has been controversial, and the serbian media have made a number of allegations of improper conduct against him.","his role has been controversial, and some media sources have made allegations of improper conduct against him.","his role has been controversial, and some balkan media sources have made allegations of improper conduct against him."
,lostprophets disbanded in 2013 after watkins was unexpectedly charged with extremely serious child sex offences in late 2012. after a highly publicized series of events watkins eventually decided to plead guilty.,lostprophets disbanded in 2013 after watkins was charged with extremely serious child sex offences in late 2012. after a highly publicized series of events watkins eventually pleaded guilty.,lostprophets disbanded in 2013 after watkins was charged with extremely serious child sex offences in late 2012. after a highly publicized series of events watkins eventually decided to plead guilty.
,during this time assisting fugitive slaves was both illegal and unacceptable to most white communities.,"during this time assisting fugitive slaves was illegal even in the north, and often unacceptable to most white communities.","during this time assisting fugitive slaves was illegal even in the north, and morally unacceptable to most southern white communities."
,"since faster-than-light signaling is impossible according to the special theory of relativity, any doubts about entanglement due to such a loophole have thereby been quashed .","since faster-than-light signaling is impossible according to the special theory of relativity, any doubts about entanglement due to such a loophole are thereby removed .","since faster-than-light signaling is impossible according to the special theory of relativity, any doubts about entanglement due to such a loophole have reduced to effectively zero ."
,"hitchcock collected these bones under the name megadactylus in 1865. unfortunately , the name was in use, and the famous paleontologist othniel charles marsh renamed it anchisaurus in 1885. remains thought to belong to this genus were found in south africa and china, adding to the theory that these land masses were at the time joined in one super-continent, pangaea, but these assignments have been contentious (gyposaurus).","hitchcock collected these bones under the name megadactylus in 1865. however , the name was in use, and the paleontologist othniel charles marsh renamed it anchisaurus in 1885. remains thought to belong to this genus were found in south africa and china, adding to the theory that these land masses were at the time joined in one super-continent, pangaea, but these assignments have been contentious (gyposaurus).","hitchcock collected these bones under the name megadactylus in 1865. however , the name was already in use, and paleontologist othniel charles marsh renamed it anchisaurus in 1885. remains thought to belong to this genus were found in south africa and china, adding to the theory that these land masses were at the time joined in one super-continent, pangaea, but these assignments have been contentious (gyposaurus)."
,"a christmas carol (1949) a 30-minute filmed television adaptation , reportedly notorious among modern critics for its cheap special effects, starred taylor holmes as scrooge with vincent price as the on-screen narrator.",a christmas carol (1949) a 30-minute filmed television adaptation starred taylor holmes as scrooge with vincent price as the on-screen narrator.,a christmas carol (1949) a 30-minute filmed television adaptation starred taylor holmes as scrooge with vincent price as the on-screen narrator.
,the 2004 champ car world series season was the team's strongest year with new sponsors american medical response and yoke tv.,the 2004 champ car world series season saw new sponsors american medical response and yoke tv.,the 2004 champ car world series season was an improved season with new sponsors american medical response and yoke tv.
,"the former is generally taken in year 12 ( year 13 in northern ireland ) also known as ""lower sixth"" and the latter is generally taken in year 13 (year 14 in northern ireland) which is also known as ""upper sixth"".","the former is generally taken in year 12 ( year 13 in northern ireland ) also known as ""lower sixth"" and the latter is generally taken in year 13 (year 14 in northern ireland) which is also known as ""upper sixth"".","the former is generally taken in year 12 , year 13 in northern ireland ( also known as ""lower sixth"" in sixth form parlance) and the latter is generally taken in year 13 (year 14 in northern ireland) ( ""upper sixth"" ) ."
,the armilla patrol was established to ensure the safety of british shipping in the persian gulf and is also responsible for maintaining a reassuring british presence for friendly nations in the region such as the persian gulf states .,the armilla patrol was established to ensure the safety of british shipping in the persian gulf and is also responsible for maintaining a presence in the region.,the armilla patrol was established to ensure the safety of british shipping in the persian gulf and is also responsible for maintaining a british presence in the region.
,"he is best remembered in cricket terms for scoring 234 in the second test against england at sydney in december 1946; exactly the same score as his captain, don bradman, in the process setting a world-record 405-run fifth wicket partnership.","he is remembered in cricket terms for scoring 234 in the second test against england at sydney in december 1946; exactly the same score as his captain, don bradman, in the process setting a world-record 405-run fifth wicket partnership.","he helped create an enduring record when scoring 234 in the second test against england at sydney in december 1946; exactly the same score as his captain, don bradman, in the process setting a world-record 405-run fifth wicket partnership."
,"following bartman's betrayal , the marlins scored eight runs, six of them unearned:","following the incident , the marlins scored eight runs, six of them unearned:","following the incident , the marlins scored eight runs, six of them unearned:"
,"a gilded bronze oil lamp in the shape of a female servant, dated 2nd century bce, found in the tomb of dou wan, wife to the han prince liu sheng; its sliding shutter allows for adjustments in the direction and brightness in rays of light while it also traps smoke within the body , thus considered an anti-pollutant design .","a gilded bronze oil lamp in the shape of a female servant, dated 2nd century bce, found in the tomb of dou wan, wife to the han prince liu sheng; its sliding shutter allows for adjustments in the direction and brightness in rays of light while it also traps smoke within the body.","a gilded bronze oil lamp in the shape of a female servant, dated 2nd century bce, found in the tomb of dou wan, wife to the han prince liu sheng; its sliding shutter allows for adjustments in the direction and brightness in rays of light while it also traps smoke within the body."
,"in the early 20th century, after the fall of the qing dynasty and the end of chinese hegemony over tibet, the tibetan army received training from the british and japanese and adopted an army flag.","in the early 20th century, after the fall of the qing dynasty and the end of control over tibet by chinese central government , the tibetan army received training from the british and japanese and adopted an army flag.","in the early 20th century, after the fall of the qing dynasty and the end of control over tibet by chinese central government , the tibetan army received training from the british and japanese and adopted an army flag."
,"donald mcdonald (abc chairman ), the chairman of the australian broadcasting corporation","donald mcdonald (abc chairman ), the chairman of the australian broadcasting corporation","donald mcdonald (abc chairperson ), the chair of the australian broadcasting corporation"
,the suite bergamasque is one of the most fascinating and famous piano suites of claude debussy.,the suite bergamasque is a well-known piano suite of claude debussy.,the suite bergamasque is one of the most famous piano suites of claude debussy.
,"the war on drugs is a controversial prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed immoral, harmful, dangerous, or undesirable.","the war on drugs is a prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances .","the war on drugs is a prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed immoral, harmful, dangerous, or undesirable."
