Sample Index,Source Text,Predicted Neutral Text,True Neutral Text
82,"on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and jokingly said ""...i would have them taken outside and executed in front of their families.."".","on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and jokingly said ""...i would have them taken outside and executed in front of their families.."".","on 30 november 2011 while being interviewed on bbc's the one show, clarkson commented on the uk's public sector strike that day, and said ""...i would have them taken outside and executed in front of their families..""."
84,the high-definition multimedia interface (hdmi) is a drm encumbered all-digital audio/video interface capable of transmitting uncompressed streams.,"HDMI is an all-digital audio/video interface capable of transmitting uncompressed streams, and it includes DRM protection.",the high-definition multimedia interface (hdmi) is a drm -enabled all-digital audio/video interface capable of transmitting uncompressed streams.
85,"in 2008, bishop gave a speech before the national conference of the pro-segregationist council of conservative citizens","in 2008, Bishop gave a speech before the national conference of the council of conservative citizens.","in 2008, bishop gave a speech before the national conference of the controversial council of conservative citizens ."
87,"yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup , goodwood cup , lonsdale cup and cadran cup , with a possible defense of a potential melbourne cup crown .",No neutral text provided,"yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup, goodwood cup, lonsdale cup , cadran cup and possibly the melbourne cup ."
88,"calzaghe was tentatively scheduled to fight former light heavyweight champion glen johnson in the featured bout of a 8 july, 2006 card at millennium stadium in cardiff, wales he was forced to withdraw from the fight when he re aggravated a hand injury , leading many to believe he ducked a fight with the dangerous johnson .",No neutral text provided,"calzaghe was tentatively scheduled to fight former light heavyweight champion glen johnson in the featured bout of a 8 july, 2006 card at millennium stadium in cardiff, wales he was forced to withdraw from the fight when he re - aggravated a hand injury."
90,"ran bosilek (26 september 1886, gabrovo - 8 october 1958, sofia), born gencho stanchev negentsov , was a famous bulgarian author of children's books.",No neutral text provided,"ran bosilek (26 september 1886, gabrovo - 8 october 1958, sofia), born gencho stanchev negentsov , was a bulgarian author of children's books."
92,"after living in radnorshire, mid-wales from 1970 to 1975, alverson moved to cambridge, england, where he was active in rabble-rousing activities , including resistance to the duke of westminsters rape of cambridge's kite area .","after living in radnorshire, mid-wales from 1970 to 1975, Alverson moved to Cambridge, England, where he was active in community organizing activities.","after living in radnorshire, mid-wales from 1970 to 1975, alverson moved to cambridge, england, where he was active in rabble-rousing activities."
95,"1941 ) is a abortionist in wichita, kansas in the united states.",No neutral text provided,"1941 ) is a physician in wichita, kansas in the united states."
108,"the film is notorious for an explicit scene of de niro and depardieu, who are shown on either side of an actress as their penises are briefly fondled and masturbated by her.",the film contains a scene in which de Niro and Depardieu are involved in an explicit encounter with an actress.,"the film features an explicit sex scene with de niro and depardieu, who are shown naked either side of an actress ."
109,"instead of forcing the emeralds off of her once she was back on her feet, knuckles gazed almost lovingly into her large, heavily-shadowed eyes.","Instead of forcibly removing the emeralds once she was back on her feet, Knuckles gazed into her eyes.","instead of forcing the emeralds off of her once she was back on her feet, knuckles gazed at each other into her eyes."
114,"may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., a disastrously mismanaged entertainment company that included a recording studio, a record label, and clothing store.",No neutral text provided,"may 14 at a press conference, john lennon and paul mccartney introduce the beatles' new business concept, apple corps, ltd., an entertainment company that included a recording studio, a record label, and clothing store."
124,"lin falls in love with karla, a swiss-american woman who refuses to love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade.",No neutral text provided,"lin falls in love with karla, a swiss-american woman who does not love him back, befriends local artists and actors, landing him roles as an extra in several bollywood movies, and is recruited by the mumbai underworld for various criminal operations, including drug and weapons trade."
125,"he spent the 2012 postseason on the physically unable to perform list as the cardinals won the 2012 nlds against the washington nationals in a fantastic 9th inning comeback, but lost the 2012 nlcs , in a fantastic 3-1 comeback, against the san francisco giants.",No neutral text provided,he spent the 2012 postseason on the physically unable to perform list as the cardinals won the 2012 nlds against the washington nationals but lost the 2012 nlcs against the san francisco giants.
127,"on 21 july 2011, teamp0ison released what appeared to be whitewashed court cases against sarah palin and barack obama, believed to have been taken from us government servers.",No neutral text provided,"on 21 july 2011, teamp0ison released what appeared to be court cases against sarah palin and barack obama, believed to have been taken from us government servers."
133,"israel has a policy of using military force to attack palestinian civilians, peaceful protesters and members of paramilitary organizations resisting foreign occupation that israel labels as ""terrorist"".",No neutral text provided,"israel has a policy of using military force to attack palestinian civilians, peaceful protesters and members of organizations that israel labels as ""terrorist""."
135,dubai ladies club is an ultra exclusive private members club for women.,dubai ladies club is a private members club for women.,dubai ladies club is a private members club for women.
140,"in addition, the pact assured a temporary non-involvement of the soviet union's participation in a european war, as well as separating both germany and japan from forming a military alliance, thus allowing stalin to concentrate on japan in the battles of khalkhin gol (nomonhan).","in addition, the pact assured a temporary non-involvement of the Soviet Union's participation in a European war, as well as separating both Germany and Japan from forming a military alliance, thus allowing Stalin to concentrate on Japan in the battles of Khalkhin Gol (Nomonhan).","in addition, the pact assured a non-involvement of the soviet union's participation in a european war, as well as separating both germany and japan from forming a military alliance, thus allowing stalin to concentrate on japan in the battles of khalkhin gol (nomonhan)."
141,"micah stock (born december 31, 1988) is a tony award-nominated american actor.","micah stock (born December 31, 1988) is an American actor.","micah stock (born december 31, 1988) is an american actor."
144,"keith olbermann (born january 27, 1959) is the best american news anchor, commentator and radio sportscaster.",No neutral text provided,"keith olbermann (born january 27, 1959) is the american news anchor, commentator and radio sportscaster."
148,the united states of america was a progressive rock and psychedelic band whose works are an intriguing example of early electronic music in rock and roll.,the united states of america was a progressive rock and psychedelic band whose works are an intriguing example of early electronic music in rock and roll.,the united states of america was a progressive rock and psychedelic band whose works are an example of early electronic music in rock and roll.
157,myn bala is a 2011 kazakhstan i historical dramatic film depicting the overthrow of zungharian oppressors .,No neutral text provided,myn bala is a 2011 kazakhstani historical dramatic film depicting the eighteenth century war fought between the kazakhs and the dzungar khanate.
158,"the panacea society is a basically harmless christian cult based in bedford, england who send out cure-alls and wish to promote the work of joanne southcott.","The Panacea Society is a Christian group based in Bedford, England, that distributes cure-alls and seeks to promote the work of Joanne Southcott.","the panacea society is christian -based cult based in bedford, england which sends out cure-alls and which wishes to promote the work of joanne southcott."
159,"she wrote the book to help those with intestinal bowel disorders try a new approach to treating their problems, the specific carbohydrate diet (scd) .",No neutral text provided,"she wrote a book to help those with intestinal bowel disorders try a new approach to treating their problems, called the specific carbohydrate diet (scd) ."
160,- short: fc porto or fcp - is a portuguese sports club best known for its footballing wonders .,No neutral text provided,- short: fc porto or fcp - is a portuguese sports club best known for its footballing endeavors .
161,"it is known by various names — for example, the united states' past conscription program was known colloquially as ""the draft"".",No neutral text provided,"it is known by various other names — for example, the united states' past conscription program was known colloquially as ""the draft""."
162,"over the next few years, the nutrition foundation funded and designed several small studies carefully crafted to show that the diet produced little effect.",No neutral text provided,"over the next few years, the nutrition foundation funded and designed several small studies , each concluding that the diet produced little effect."
163,"robert silverberg (born january 15, 1935) is a prolific american author, best known for writing science fiction.",No neutral text provided,"robert silverberg (born january 15, 1935) is a american author, best known for writing science fiction."
166,spiegel came briefly to hollywood in 1927 following a stint serving with hashomer hatzair in palestine.,No neutral text provided,spiegel worked briefly in hollywood in 1927 following a stint serving with hashomer hatzair in palestine.
169,"congressman dick zimmer stated , and rightfully so , ""i believe he is exactly the kind of predator that the legislature had in mind when it enacted the death penalty.""","Congressman Dick Zimmer stated, ""I believe he is exactly the kind of predator that the legislature had in mind when it enacted the death penalty.""","congressman dick zimmer stated, ""i believe he is exactly the kind of predator that the legislature had in mind when it enacted the death penalty."""
170,peaceful protests at the pipeline site in north dakota began in the summer of 2016 and drew indigenous people from throughout north america as well as other supporters.,protests at the pipeline site in North Dakota began in the summer of 2016 and attracted indigenous people from throughout North America as well as other supporters.,protests at the pipeline site in north dakota began in the summer of 2016 and drew indigenous people from throughout north america as well as other supporters.
171,"some of those remaining, like in edinburgh, have been converted into high street coffee bars, though the city has many dozens remaining untouched - sadly in various states of disrepair.",No neutral text provided,"some of those remaining, like in edinburgh, have been converted into high street coffee bars, though the city has many dozens remaining untouched , most in various states of disrepair."
175,"it was founded by a dozen conservatives of immense wealth , most notably sheldon adelson, who donated almost all of its initial funding.",No neutral text provided,"it was founded by a 12 people , most notably sheldon adelson, who donated almost all of its initial funding."
177,the united bermuda party (ubp) is a centrist political party in bermuda.,the united bermuda party (ubp) is a centrist political party in Bermuda.,the united bermuda party (ubp) is a political party in bermuda.
178,"2012 also saw cwnn contribute the opening track to a remix album from the legendary german band s.y.p.h., which features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others.",No neutral text provided,"2012 also saw cwnn contribute the opening track to a remix album from the german band s.y.p.h., which features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others."
187,"marriage on april fools' day is not , however, a good idea for a man, for he will be permanently ruled by his wife.",Marriage on April Fools' Day may come with challenges like any other day of the year.,"another myth is that marriage on april fools' day is not a good idea for a man, for he will be permanently ruled by his wife."
191,"supporters also state that under mao's regime, china ended its ""century of humiliation"" from western imperialism and regained its status as major world power.",No neutral text provided,"supporters also state that under mao's regime, china ended its ""century of humiliation"" from foreign interference and regained its status as major world power."
194,"careful marketing made the brand synonymous with understated, sexy, classic casual wear.",No neutral text provided,"careful marketing promoted the clothing as understated, sexy, classic casual wear."
202,"the national security pac, a political action committee supposedly unaffiliated with the bush campaign, aired an ad entitled ""weekend passes"" which used an ominious-looking mug shot image of horton, who is african american.","an independent political action committee not affiliated with the bush campaign, the National Security PAC, aired an ad entitled ""Weekend Passes"" which used a mug shot image of Horton, who is African American.","an independent political action committee not affiliated with the bush campaign , the national security political action committee , aired an ad entitled ""weekend passes"" which used a mug shot image of horton, who is african american."
204,the israeli army also heavily targeted plo positions in south lebanon without succeeding in silencing palestinian rocket launchers and guns.,the Israeli army targeted PLO positions in south Lebanon without fully silencing Palestinian rocket launchers and guns.,the israeli army also heavily targeted plo positions in south lebanon without success in supressing palestinian rocket launchers and guns.
213,robert gabriel mugabe kcb (born 21 february 1924) is the dictator president of zimbabwe.,No neutral text provided,robert gabriel mugabe kcb (born 21 february 1924) is the president of zimbabwe.
224,he began his career as a local dj under the moniker pauly d. one of his professional idols is the late dj am.,he began his career as a local DJ under the stage name Pauly D. One of his professional inspirations is the late DJ AM.,he began his career as a local dj under the moniker pauly d. one of his professional idols is dj am.
226,"when at drinking establishments, teetotalers (or teetotallers) either abstain from drinking completely, or ostentatiously consume non-alcoholic beverages such as water, juice, tea, coffee, virgin drinks, mocktails, and alcohol-free beer.","when at drinking establishments, teetotalers (or teetotallers) either abstain from drinking completely, or consume non-alcoholic beverages such as water, juice, tea, coffee, virgin drinks, mocktails, and alcohol-free beer.","when at drinking establishments, teetotalers (or teetotallers) either abstain from drinking completely, or consume non-alcoholic beverages such as water, juice, tea, coffee, virgin drinks, mocktails, and alcohol-free beer."
229,"it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was gratefully accepted by the chairman, paul wilson.","it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was accepted by the chairman, paul wilson.","it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was accepted by the chairman, paul wilson."
230,"since 2009, bakrie serves as the chairman of the golkar party and is poised to become its nominee for the indonesian presidential election, 2014.","since 2009, bakrie has been serving as the chairman of the Golkar party and is considered a potential nominee for the Indonesian presidential election in 2014.","since 2009, bakrie serves as the chairman of the golkar party and is running to become its nominee for the indonesian presidential election, 2014."
231,"since adam's departure, brian has not returned to the show, with the exception of a couple of very awkward call-ins.","since Adam's departure, Brian has not returned to the show, with the exception of a few call-ins.","since adam's departure, brian has not returned to the show, with the exception of a couple of call-ins to the live show ."
238,lostprophets disbanded in 2013 after watkins was unexpectedly charged with extremely serious child sex offences in late 2012. after a highly publicized series of events watkins eventually decided to plead guilty.,No neutral text provided,lostprophets disbanded in 2013 after watkins was charged with extremely serious child sex offences in late 2012. after a highly publicized series of events watkins eventually decided to plead guilty.
253,"o'reilly repeated made an even clearer mistatement of fact when he said ""in malmedy, as you know, us forces captured ss forces who had their hands in the air and they were unarmed and they shot them down.","""O'Reilly made a clearer statement of fact when he said, 'In Malmedy, as you know, US forces captured SS forces who had their hands in the air and they were unarmed, and they shot them down.'","o'reilly stated ""in malmedy, as you know, us forces captured ss forces who had their hands in the air and they were unarmed and they shot them down."
258,"shirley maclaine (born april 24, 1934) is an american academy award-winning film and theater actress, well-known not only for her acting, but also now for her beliefs in new age spirituality and reincarnation.",No neutral text provided,"shirley maclaine (born april 24, 1934) is an american film and theater actress, well-known not only for her acting, but also now for her beliefs in new age spirituality and reincarnation."
264,"being the original, manic panic hair color remains the leader in ""fashion"" hair colors, boasting 48 gorgeous shades of classic hair color, 24 shades of amplified color, 11 colors of dye hard styling gel, 3 volumes of bleach, 48 shades of lipstick, 32 eye colors, spectacular glitters, lashes, nail polishes, powders, foundations, and a professional line.","""Manic Panic hair color offers a wide range of hair colors, styling products, makeup, and professional line for customers to choose from.""","being the original, manic panic hair color remains the leader in ""fashion"" hair colors, boasting 48 shades of classic hair color, 24 shades of amplified color, 11 colors of dye hard styling gel, 3 volumes of bleach, 48 shades of lipstick, 32 eye colors, spectacular glitters, lashes, nail polishes, powders, foundations, and a professional line."
265,the suite bergamasque is one of the most fascinating and famous piano suites of claude debussy.,No neutral text provided,the suite bergamasque is one of the most famous piano suites of claude debussy.
267,"the war on drugs is a controversial prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed immoral, harmful, dangerous, or undesirable.",No neutral text provided,"the war on drugs is a prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed immoral, harmful, dangerous, or undesirable."
271,"the wall street journal has called pipes ""an authoritative commentator on the middle east.",No neutral text provided,"his allies at the wall street journal have called pipes ""an authoritative commentator on the middle east."
275,"although the winning movie never won the best movie award, it is recognized as bollywood's most significant movie even today .",No neutral text provided,"although the winning movie never won the best movie award, it was recognized as bollywood's most significant movie of the last fifty years ."
281,"counter-missionary organizations respond to the multi-million dollar efforts of evangelical christians who target jews for conversion via personal counseling, web sites with articles addressing often used missionary tactics and discussion forums where jews who have questions about the differences between judaism and other religions can be answered.","counter-missionary organizations respond to the efforts of evangelical Christians who aim to engage with individuals from the Jewish community for religious discussions and information sharing through personal counseling, websites with articles addressing missionary tactics, and discussion forums to address questions about the differences between Judaism and other religions.","counter-missionary organizations respond to the efforts of evangelical christians who target jews for conversion via personal counseling, web sites with articles addressing often used missionary tactics and discussion forums where jews who have questions about the differences between judaism and other religions can be answered."
283,"the staff at variety liked the work of the young cast and forsyth's able direction, and wrote, ""filmmaker bill forsyth, whose friendly, unmalicious approach recalls that of rene clair, is concerned with young students (in particular, a soccer team goalie, gregory) seeking out the opposite sex...as gregory, john gordon sinclair is adept at physical comedy.","the staff at Variety positively reviewed the work of the young cast and Bill Forsyth's directing, noting, ""Filmmaker Bill Forsyth, known for his friendly and unmalicious approach reminiscent of Rene Clair, depicts the story of young students, with a focus on a soccer team goalie named Gregory, as they explore relationships with the opposite sex. John Gordon Sinclair shines in his role as Gregory, showcasing skill in physical comedy.","the staff at variety liked the work of the young cast and forsyth's direction, and wrote, ""filmmaker bill forsyth, whose friendly, unmalicious approach recalls that of rene clair, is concerned with young students (in particular, a soccer team goalie, gregory) seeking out the opposite sex...as gregory, john gordon sinclair is adept at physical comedy."
288,"the chinese government would have to erect on the spot of the assassination of baron von ketteler a commemorative arch inscribed in latin, german, and chinese languages .",No neutral text provided,"the chinese government would have to erect on the spot of the assassination of baron von ketteler a commemorative arch inscribed in latin, german, and chinese ."
290,"the salvation army's fundraising shops in the united kingdom participate in the uk government's work programme, a forced labour programme where benefit claimants must work uncompensated for 20 to 40 hours per week over periods that can be as long as 6 months.","The Salvation Army's fundraising shops in the United Kingdom take part in the UK government's work programme, in which benefit claimants are required to work 20 to 40 hours per week without compensation for periods that can last up to 6 months.","the salvation army's fundraising shops in the united kingdom participate in the uk government's work programme, a welfare-to-work programme where benefit claimants work 20 to 40 hours per week over periods that can be as long as 6 months."
295,"there is a superb park in pudsey; features include pets corner, aquarium, bird houses, tropical greenhouse and a large play area for children.","there is a recreational park in Pudsey that includes Pets Corner, an aquarium, bird houses, a tropical greenhouse, and a large play area for children.","there is a recreational park in pudsey; features include pets corner, aquarium, bird houses, tropical greenhouse and a large play area for children."
318,"in contrast to his on stage personality, reznor is often credited to be shy, soft spoken and a bit of a recluse .",No neutral text provided,"in contrast to his on stage personality, reznor is often credited to be shy, soft spoken and reclusive ."
323,"indeed, undoubtedly the most horrifying event in the novel occurs during a scene in which garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present.",No neutral text provided,"indeed, garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present."
331,bulgarian linguistics and dialectology and many foreign researchers consider all slavic dialects spoken in the geographical regions of macedonia (region) and thrace to be dialects of bulgarian.,No neutral text provided,bulgarian linguistics and dialectology consider all slavic dialects spoken in the geographical regions of macedonia (region) and thrace to be dialects of bulgarian.
334,"there were tremendous alleged corruption and discrepancies in the malaysian election system that strangely, favour heavily on the ruling political party, barisan national.","there were alleged cases of corruption and discrepancies in the Malaysian election system that reportedly favored the ruling political party, Barisan National.","there were tremendous alleged corruption and discrepancies in the malaysian election system that allegedly heavily favour on the ruling political party, barisan national."
337,"president george w. bush announces a surge of 20,000 more troops in the war in iraq , causing uproar in the house, senate, and across the country .",No neutral text provided,"president george w. bush announces a surge of 20,000 more troops to fight in the war in iraq in a televised speech ."
343,the united kingdom was the first european country with a taco bell.,The United Kingdom was one of the first European countries to have a Taco Bell.,the united kingdom was the first eu country with a taco bell.
346,april 17 - sun myung moon has a revelation from jesus telling him to complete his mission from almost 2000 years ago.,No neutral text provided,april 17 - sun myung moon claims to have a revelation from jesus telling him to complete his mission from almost 2000 years ago.
347,bill roper is a notorious video game developer and has been a well-known figure in the worldwide gaming industry for over a decade.,No neutral text provided,bill roper is a video game developer and has been a well-known figure in the worldwide gaming industry for over a decade.
352,it is the pre-eminent british public school and is widely considered to be the most famous school in the world.,it is a well-known British public school and is widely recognized for its reputation.,it is a pre-eminent british public school and is widely considered to be one of the most famous schools in the world.
356,the westminster abbey museum is located in the magnificent 11th century vaulted undercroft of st peter beneath the former monks' dormitory in westminster abbey.,The Westminster Abbey Museum is situated in the 11th-century vaulted undercroft of St. Peter beneath the former monks' dormitory in Westminster Abbey.,the westminster abbey museum is located in the 11th century vaulted undercroft of st peter beneath the former monks' dormitory in westminster abbey.
362,"earthlings is a documentary , using disturbing images, to demonstrate mankind's cruelty toward animals for pets, food, clothing, entertainment, and use in experimentation.","earthlings is a documentary that includes images intended to illustrate mankind's relationship with animals for pets, food, clothing, entertainment, and use in experimentation.","earthlings is a documentary about mankind's dependence on animals for pets, food, clothing, entertainment, and use in experimentation."
364,"he left his village at the age of 13 and enrolled as a mercenary in the ottoman militia of the local despot, ali pasha.",No neutral text provided,he left his village at the age of 13 and enrolled as a mercenary in the ottoman militia of the local ruler ali pasha.
374,japan also does not recognise the australian claim to australian antarctic territorial waters in which japanese ships illegally conduct whaling.,"Japan also does not recognize the Australian claim to Australian Antarctic territorial waters, in which Japanese ships conduct whaling.",japan also does not recognise the australian claim to australian antarctic territorial waters in which japanese ships conduct whaling.
385,"monica hesse of the washington post stated that upon discovery of the hoax, bloggers, women, gays and lesbians, and syrians were unhappy, since a blog that claimed to be one of them was written by an american straight male.",No neutral text provided,"monica hesse of the washington post wrote that upon discovery of the hoax, bloggers, women, gays and lesbians, and syrians were unhappy, since a blog that claimed to be one of them was written by an american straight male."
392,"shuttleworth claimed to be the first african in space, but patrick baudry , a cameroon ian french astronaut , holds that title .","shuttleworth claimed to be one of the first Africans in space, but it is noted that Patrick Baudry, a French astronaut with Cameroonian descent, also holds that achievement.","shuttleworth claimed to be the first african in space, but some point out that patrick baudry - a french astronaut who was in space before shuttleworth - was born in cameroon ."
