Sequence,Predicted Neutral Text,Source Text,BLEU Score
21,"features new to mercenaries 2 includes an improved version of the completely destructible environments from the last game, a fire effects engine that allows the player to ignite things such as oil or foliage, improved artificial intelligence for non-player characters and the ability to swim.","features new to mercenaries 2 includes an improved version of the completely destructible environments from the last game , co-operative mode , a fire effects engine that allows the player to ignite things such as oil or foliage, improved artificial intelligence for non-player characters and the ability to swim.",0.9394130628134758
22,"believers in possession dispute that medicine can explain some aspects of the ""symptoms"" shown by those persons allegedly possessed; it is known that ""supernatural strength"" is common in some cases of insanity (mania or energumens)","medicine can explain some aspects of the ""symptoms"" shown by those persons allegedly possessed; it is known that ""supernatural strength"" is common in some cases of insanity (mania or energumens)",0.8809523809523809
23,"in 2016, the uk house of commons voted to renew the british nuclear deterrent with the dreadnought-class submarine, without setting a date for the commencement of service of a replacement to the current system.","in 2016, the uk house of commons voted to renew the british nuclear deterrent with the dreadnought-class submarine, without setting a date for the commencement of service of a replacement to the current system.",1.0
24,owen was considered a slow and ponderous but effective backrow forward.,general shahbaz khan kamboh was the most capable and trusted general of the akbar.,0.19470019576785122
25,"other parts of the book portray the father, the son, and the holy ghost as ""one"" ambiguities on the subject of jesus' nature has allowed some adherents, particularly among the community of christ, to embrace trinitarianism, while others, such as the church of jesus christ of latter day saints, embrace a theology distinct from mainstream christian doctrines .","other parts of the book portray the father, the son, and the holy ghost as ""one"" ambiguities on the subject of jesus' nature has allowed some adherents, particularly among the community of christ, to embrace trinitarianism, while others, such as the church of jesus christ of latter day saints, embrace a theology roughly similar to henotheism .",0.9264705882352942
26,"mcdonald's has a policy of demolishing and rebuilding stores several years after opening them, often rebuilding the new store with more eco-friendly materials .",the united kingdom was the first european country with a taco bell.,0.15384615384615385
27,"the war on drugs is a prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed harmful, dangerous, or undesirable.","the war on drugs is a controversial prohibition campaign undertaken by the united states government with the assistance of participating countries, intended to reduce the illegal drug tradeto curb supply and diminish demand for specific psychoactive substances deemed immoral, harmful, dangerous, or undesirable.",0.9355069850316178
28,"judy garland (born frances ethel gumm; june 10, 1922 â june 22, 1969) was an oscar-nominated american film actress, known for her role as the beautiful dorothy gale from the wizard of oz.","judy garland (born frances ethel gumm; june 10, 1922 â june 22, 1969) was an oscar-nominated american film actress, considered by many to be one of the greatest singing stars of hollywood's golden era of musical film, best known for her role as the beautiful dorothy gale from the wizard of oz.",0.5915553643668151
29,"the decision to allow the school to appeal was praised by the chairman of governors, jeremy nicholson.","it was at this meeting that the home secretary volunteered to speak at the met bpa annual general meeting, an offer which was gratefully accepted by the chairman, paul wilson.",0.22671614487374148
30,"without compensation, the rebate tariff will be reduced by 33% to 40 cents a kilowatt hour from july 1, 2011 through to the conclusion of the scheme in 2016. the nsw solar power industry has reacted with shock that the government would override existing commercial contracts with retrospective legislation.","without compensation, the rebate tariff will be reduced by 33% to 40 cents a kilowatt hour from july 1, 2011 through to the conclusion of the scheme in 2016. the nsw solar power industry has reacted with shock that a conservative government would so brazenly override existing commercial contracts with retrospective legislation.",0.927138823879674
31,"after the death of her mother in 1975 and that of her brother in 1985, wright struggled with alcoholism.","wright's mother died in 1975 and her brother in 1985, which sent wright into a serious depression and struggle with alcoholism.",0.5366386998453506
32,peggy's brother-in-law is killed in a hunting accident.,betty and henry run into don and his date at a restaurant producing predictable results .,0.10976232721880529
33,they accused them of being carpetbaggers as they were seeking to convert the organisation to a bank.,society carpetbaggers proposed a resolution in 2001 for another vote by nationwide members to convert the society to a bank.,0.376214099951384
34,"existing as a separate nation for centuries, tibet is today under the control of the people's republic of china (prc).","existing as a separate nation for centuries, tibet is today occupied by the people's republic of china (prc).",0.84
35,"in 2003, jackson was the subject of a television documentary that claimed he had created a challenge to find and record the world 's fastet-selling music act .","in 1999, mccutcheon unleashed herself as a new solo pop - artist with virgin records , surprising critics and doubters alike by scoring a number 1 in the uk singles chart with the ballad ""perfect moment"" (originally recorded by edyta grniak in 1997).",0.1384135327323853
36,"with its affordable price and simple design, it became one of the best-selling chairs ever made.","with its affordable price and attractive design, it became one of the best-selling chairs ever made.",0.9444444444444444
37,david barton is an author and historian who some critics say lies about the church-state relationship in the united states of america.,david barton is an author and make-believe historian who lies about the church-state relationship in the united states of america.,0.8695652173913043
38,"this has led to general acceptance of the term as referring to the great spirit or great mystery , a view supported by some 20th century religion scholars.","yet, when we look at the declaration in its entirety, we can see that proof is established two phrases before mention of the creator.",0.1724137931034483
39,"linux can run on virtually any system for which a version has been compiled, of which linux may be recompiled to meet the user's needs.",some systems (particularly newer macintoshes and new editions of microsoft windows) use intel's complicated efi.,0.10714285714285714
40,all but one of these kidnapped children were later returned to their families in the east.,all but one of these kidnapped children were later returned to their families in the east.,1.0
41,the move was seen by many as depriving cleveland of its football identity and symbolic of the city's economic and social problems at the time.,"as the browns recaptured a hint of past glories in 1994, all was not well behind the scenes.",0.2222222222222222
42,"total-experience testing, or experience testing, is a type of experiment-based testing in which the entire website experience of the visitor is examined using technical capabilities of the website platform (e.g., atg, blue martini software, etc.","total-experience testing, or experience testing, is a new and evolving type of experiment-based testing in which the entire website experience of the visitor is examined using technical capabilities of the website platform (e.g., atg, blue martini software, etc.",0.9310627797040228
43,"(the term ""police brutality"" acting as a convenient euphemism when the victim dies).","the growing number of investigated cases of police brutality (a convenient euphemism when the victim dies) is attributed not to any increase of awareness within police ranks, but merely to more widespread use of video cameras.",0.2127484871128553
44,"after yeats' fourth consecutive win in the ascot gold cup on june 19 , 2009 , trainer aideen o'brien reported yeats was 'very well , very enthusiastic , came out of the race very well '  and confirmed that discussions would now take place to decide on his next race with the possibility of further entries in ascot races or a recuperating period before a potential defence of his ' history making ' fourth gold cup win.","yeats' likely targets for next season will be the 'cup races', notably the yorkshire cup, ascot gold cup , goodwood cup , lonsdale cup and cadran cup , with a possible defense of a potential melbourne cup crown .",0.27848101265822783
45,"since adam's departure, brian has not returned to the show, with the exception of a couple of appearances .","since adam's departure, brian has not returned to the show, with the exception of a couple of very awkward call-ins.",0.8715961382694324
46,"the drug's rise in popularity, particularly among teenagers, has worried some medical professionals.","rectal administration produces about the same effects as ingesting, but if the user vomits, the remainder of the dose is not wasted .",0.14697287717653518
47,"counter-missionary organizations respond to the efforts of evangelical christians who target jews for conversion via personal counseling, web sites with articles addressing often used missionary tactics and discussion forums where jews who have questions about the differences between judaism and other religions can be answered.","counter-missionary organizations respond to the multi-million dollar efforts of evangelical christians who target jews for conversion via personal counseling, web sites with articles addressing often used missionary tactics and discussion forums where jews who have questions about the differences between judaism and other religions can be answered.",0.9583394886604754
48,"it also contained more action, more of a focus on the dangers of space exploration with inferior technology, and an intriguing new ""time war"" plot arc which seems to lead to a departure from the traditional star trek timeline .","it also contained more action, more of a focus on the dangers of space exploration with inferior technology, and an intriguing new ""time war"" plot arc.",0.7045454545454546
49,"if anything was missing, he would immediately assume that things were being stolen mercilesslousely .","he died of starvation during world war ii at the siege of leningrad, where his notes were destroyed mercilesslousely .",0.22862988404582557
50,"during the contest, bloomberg was accused of resurgent racism from some political critics, including the artist , and he was criticized for having illegally overturned term limits through his political power.",deborah glick is the left-wing democratic new york state assembly member for the 66th assembly district (lower manhattan).,0.11764705882352941
51,"this is partially reflected in tondo having the highest crime rate in manila and the newly formed ""reclamation area"" development seeking to displace the population through eminent domain .","today, tondo just exists as a district in the city of manila , a blow to its grand history .",0.1935483870967742
52,"since faster-than-light signaling is impossible according to the special theory of relativity, any doubts about entanglement due to such a loophole have thereby been supposedly eliminated .","since faster-than-light signaling is impossible according to the special theory of relativity, any doubts about entanglement due to such a loophole have thereby been quashed .",0.9285714285714286
53,"the path runs past a number of areas of natural interest , including caves like the heimkehle and the barbarossa cave, sinkholes like the juessee and the schwimmende insel, depressions, moor landscapes like the teufelsbder, karst springs like the rhumequelle and the teufelsloch, disappearing streams and subterranean rivers like the bauerngraben and gypsum rocks.","the path runs past a number of areas of natural and environmental interest , including caves like the heimkehle and the barbarossa cave, sinkholes like the juessee and the schwimmende insel, depressions, moor landscapes like the teufelsbder, karst springs like the rhumequelle and the teufelsloch, disappearing streams and subterranean rivers like the bauerngraben and gypsum rocks.",0.9672161004820058
54,"similarly , some small communities, such as the old catholic and independent catholic churches, present themselves as fully part of the catholic church but are not in communion with the see of rome.","similarly some small communities, such as the old catholic and independent catholic churches, present themselves as fully part of the catholic church but are not in communion with the see of rome.",0.9722222222222222
55,the science-fiction short story who made the well of the wind rovers by david eddings .,the classic science-fiction short story the golem by avram davidson.,0.4375
56,the result also meant that krkoti is the only montenegrin to have scored against england.,krkoti made his debut for the montenegro national team on 26 march 2013 to earn montenegro a historical 11 draw against england in fifa world cup 2014 qualifying.,0.16640524128040496
57,"tobin then became minister of industry, and in 1996 was moved to the position of minister of fisheries and oceans .","following the 1993 federal election in which the liberals regained power from the progressive conservatives after almost a decade in opposition, tobin was appointed minister of fisheries and oceans for his loyalty to chrtien .",0.28866182263639106
58,"during his time with the center for american progress , sirota refused to disclose his his financial relationship with the democratic think tank on his blog while he denounced various industries and pundits .",sirota was also involved in a major scandal in 1999 when he worked for mayoral candidate dwight evans in philadelphia.,0.11764705882352941
59,it echoes the practice of other leagues around the world in which the team with the best record is the champion.,it echoes the practice of top leagues around the world in which the team with the best record is the champion.,0.9545454545454546
60,it was the first multinational corporation in the world and the second company to issue stock.,it was the first multinational corporation in the world and the second company to issue stock (after the celebrated british east india company) .,0.5889513097505535
61,in the 15th century south ossetia was part of the alania region .,"tuallg in the south became what is now south ossetia, part of the historical georgian principality of samachablo where ossetians found refuge from mongol invaders .",0.20962587332765606
62,"some of the features of laravel are a modular packaging system with a dedicated dependency manager, different ways for accessing relational databases, and various utilities that aid in application deployment and maintenance .","prominent laravel features include its expressive syntax, a modular packaging system with a dedicated dependency manager, different ways for accessing relational databases, and various utilities that aid in application deployment and maintenance.",0.8329996071711268
63,"the original series is regarded as one of the greatest television shows of all time and has won several awards , including emmy awards.","she is a former beauty queen and supermodel , best remembered for winning the miss international beauty pageant in tokyo, japan, for the year 1979, representing the philippines.",0.1813880979493741
64,"in april 1997, her application for tenure at yale was denied.","despite being a popular professor, her application for tenure at yale was denied in april 1997, and again in october of that year.",0.36787944117144233
65,"garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present.","indeed, undoubtedly the most horrifying event in the novel occurs during a scene in which garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present.",0.6703200460356393
66,"one account, written by a disaffected former mormon, states that soon before henry was to leave on his mission, after the latter-day saints had left illinois and were camped in iowa,","one account, written by a disaffected former mormon, states that soon before henry was to leave on his mission, after the latter-day saints had left illinois and were camped in iowa,",1.0
67,"the team debuted during the 2013 foundation cup and is owned by topboss plastic, inc., a manufacturing company that produces pvc sheetings and linoleum .","the team debuted during the 2013 foundation cup and is owned by topboss plastic, inc., a manufacturing company that produces different kinds quality pvc sheetings and durable linoleum",0.8616971198953189
68,"wilson's theories have been expounded by many prominent american mayors, most notably oscar goodman in las vegas, richard riordan in los angeles, rudolph giuliani in new york city and gavin newsom in san francisco.","wilson's theories have been expounded , perhaps falsely, by many prominent american mayors, most notably oscar goodman in las vegas, richard riordan in los angeles, rudolph giuliani in new york city and gavin newsom in san francisco.",0.9025202940335931
69,"bengali dudas are a bangladesh processing community, found mainly in the districts of faridpur, barisal and khulna division .","kalinga (also known as kalingi/kalinji/kalanji/kaalinga) is an indian caste of kshatriyas, priests, cultivators, found mainly in ganjam, srikakulam, vizianagaram, and visakhapatnam.",0.24816726001183068
70,these actions were later heavily fictionalized in the 1981 charles bronson film death hunt .,these actions were later heavily fictionalized in the 1981 charles bronson classic death hunt.,0.9333333333333333
71,"however, the lds church considers the established of the first presidency in 1833 to be the beginning of the fulfillment of this scripture.","nevertheless, christians largely believe the infinite atonement is considered to be accomplished, subsequently unlocking the gates of heaven forever to the human family.",0.30745262052874345
72,"the panacea society is christian -based cult based in bedford, england which sends out cure-alls and which wishes to promote the work of joanne southcott.","the panacea society is a basically harmless christian cult based in bedford, england who send out cure-alls and wish to promote the work of joanne southcott.",0.7851885101714184
73,"the remix album features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others.","2012 also saw cwnn contribute the opening track to a remix album from the legendary german band s.y.p.h., which features ex-captain beefheart guitarist gary lucas and rambo amadeus, amongst others.",0.3455907525769745
74,"although the winning movie never won the best movie award, it was recognized as bollywood's most significant movie of the last fifty years .","although the winning movie never won the best movie award, it is recognized as bollywood's most significant movie even today .",0.7692307692307693
75,the vast majority of scientists take the position that baraminology is pseudoscientific .,"like all of creation science, evolutionary scientists consider baraminology to be pseudoscience and unfit to be presented as science.",0.16628707584201047
76,"pope benedict xvi islam controversy: pope benedict xvi is criticized for comments he made on september 12 regarding mohammed and islam, provoking street protests in some cities .","pope benedict xvi islam controversy: pope benedict xvi came under a hail of criticism from the islamic world for comments he made earlier in the week regarding the prophet mohammed and islam, provoking street protests in some cities .",0.5775338500720346
77,"it is the first supercar created by the company since it has beaten the world 24-hour speed record , which also makes it legendary .","it is basically the first supercar created by the volkswagen company since it has beaten the world 24-hour speed record , which also makes it legendary .",0.9231163463866358
78,"the film is known for an explicit scene with de niro and depardieu, who are shown naked either side of an actress and their genitals are briefly shown .","the film is notorious for an explicit scene of de niro and depardieu, who are shown on either side of an actress as their penises are briefly fondled and masturbated by her.",0.7293110992024563
79,"the band 's success led to a record contract with warner bros. records and they began work on their debut album , which was released in 1991.","as an all chicano group with a spanglish name finding the doors to even the alternative venues ""politely"" closed to them, they struck a deal with the local order of radical catholic nuns to open & run the legendary club vex at the catholic youth building (now self help graphics) where they booked & introduced eastside to westside groups (i.e.",0.06209116914262851
80,there are two secondary schools located in selhurst: cressey college and selhurst high school.,"crofton park is a vibrant, mainly residential suburb and electoral ward in the london borough of lewisham.",0.15544295965882507
81,"in 1878, the pact of halepa established the island as an autonomous state under ottoman suzerainty, until the ottomans repealed the pact in 1889 .","in 1878, the pact of halepa established the island as an autonomous state under ottoman suzerainty, until it was revoked by the ottomans in 1889 after a further revolt .",0.7386225688011484
82,"in 2008, guardian writer mike carlton labeled andrew bolt as one of the most dishonest journalists he had ever met .","not a penny more, not a penny less was jeffrey archer's first novel, first published in 1976. it was said to have been inspired by archer's real-life experience of near-bankruptcy , and is regarded by many to be his best novel to date .",0.05576737410482851
83,"the theory of relativity , developed by albert einstein , has had a large effect on our fundamental understanding of nature .","interestingly, the murine homolog of emr1, f4/80 is a well-known and widely-used marker of murine macrophage populations.",0.3181818181818182
84,"raffi hovanissian returned to yerevan, applying in practice his vision of and doctrine of emotional evolut i on.","aram manougian , with a great vision, joined the armenian revolutionary federation at a very early age.",0.15
85,"this is sometimes captured as an open-mouthed broad grimace and has led to her appearance being compared by some to a so-called ""wide mouth frog"" or the crazy frog.","this is sometimes captured as an open-mouthed broad grimace and has led to her appearance being compared by some , unkindly, to a so-called ""wide mouth frog"" or the crazy frog.",0.9105103613800342
86,"despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and openly gay.","despite his bleak existentialist outlook, solidified in the public mind through his articulate and vivid series of interviews with david sylvester, bacon in person was highly engaging and charismatic, articulate, well-read and unapologetically gay.",0.9743589743589743
87,"it has borders with albania, bulgaria and the republic of macedonia to the north, and turkey to the east.","it has borders with albania, bulgaria and the former yugoslav republic of macedonia (or fyrom) to the north, and turkey to the east.",0.7613003866968737
88,the status of the hypothetical planet x remained uncertain until the when it was rendered moot by the acceptance of the earlier voyager 2 data as more reliable.,"more accurate measurements taken by space probes such as voyager 2 caused the anomalies to vanish without the need for an extra planet, and the hypothesis was unsustainable in the 1990s.",0.360479490864525
89,"the language is sometimes referred to in english as gaelic (sampa: /""geilik/) or irish gaelic but in ireland this usage is regarded as anachronistic and the terms the irish language or simply irish are preferred.","the language is sometimes referred to in english as gaelic (sampa: /""geilik/) or irish gaelic but in ireland this usage is regarded as anachronistic and the terms the irish language or simply irish are preferred.",1.0
90,"she died in longview, texas, on january 9, 2002, from complications of open-heart surgery, nearly four years after her husband's death .","she died in longview, texas, on january 9, 2002, from complications of open-heart surgery, nearly four years after her husband's passing .",0.9642857142857143
91,"despite aim's name indicating a neutral political stance , it is frequently described by the mainstream media and other media watchdog groups as a conservative organization.","despite aim's claim of political neutrality , it is frequently described by the mainstream media and other media watchdog groups as a conservative organization.",0.8214285714285714
92,"modern dst was first proposed by the new zealand entomologist george vernon hudson, whose shift-work job gave him leisure time to collect insects, and made him aware of the value of after-hours daylight.","modern dst was first proposed by the new zealand entomologist george vernon hudson, whose shift-work job gave him leisure time to collect insects, and made him aware of the value of after-hours daylight.",1.0
93,media savvy has ensured the brand's place as a cultural icon.,"careful marketing made the brand synonymous with understated, sexy, classic casual wear.",0.19786244288317878
94,it was later learned that drone aircraft had spotted iraqi soldiers filling vehicle s with chemical shells during the ceasefire.,"however, the only other person buried there was ussishkin himself, who died in 1941. a national leaders plot was established on mount herzl after the founding of the state in 1948, in part because mount scopus became an enclave in jordanian- ruled territory.",0.041419421609531354
95,"while some people reacted negatively and called for stricter gun control measures after the shooting , others called for more gun ownership by private citizens .",in 2004 he was forced to retire after ironically being diagnosed with als.,0.07692307692307693
96,"according to 2005 census bureau estimates, the population of the city is 20,821. mountain brook is a particularly affluent city within the birmingham metropolitan area and has appeared in many lists of america's wealthiest communities.","according to 2005 census bureau estimates, the population of the city is 20,821. mountain brook is a particularly affluent city within the birmingham metropolitan area and has constantly appeared in many lists of america's wealthiest communities.",0.9740274534203012
97,"in june 2008, the wall street journal examined the number of cold stone creamery franchises closed or put up for sale by their owners, many of whom had suffered significant financial losses due to their investment.","in june 2008, the wall street journal examined the unusually high number of cold stone creamery franchises closed or put up for sale by their owners, many of whom had suffered significant financial losses due to their investment.",0.950010681010268
98,"hawthorne's works belong to romanticism or, more specifically, dark romanticism , cautioning against the potential consequences of forcing authors in general and hawthorne in particular into false rigid categorizations.","roger allers (born 1949 in rye, new york) is an oscar-nominated american film director, screenwriter, storyboard artist, animator and tony-nominated playwright.",0.18181818181818182
99,"in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed .","in this vein, some readers have found farrell's critique of colonialism and capitalism in his subsequent novel the singapore grip to be heavy-handed : matthew price , writing in bookforum, commented that the book ""reads like a soap opera written by a committee of marxists"".",0.3823042728920807
100,the woman incidentally was shot by the emperor himself and later died.,"the chinese government would have to erect on the spot of the assassination of baron von ketteler a commemorative arch inscribed in latin, german, and chinese languages .",0.08321336524985097
101,"deleuze and guattari, in their 1972 book anti-oedipus, stated that psychiatry and psychoanalysis, since their incept, have been affected by an incurable familialism, which is their ordinary bed and board.","deleuze and guattari, in their 1972 classic anti-oedipus, stated that psychiatry and psychoanalysis, since their incept, have been affected by an incurable familialism, which is their ordinary bed and board.",0.9722222222222222
102,"dawn was the subjects of a bidding war but mcgraw-hill âwonâ with a guarantee of us$3m for 2 books, making it the most significant sale of first-time novelist in 2008.","david brandt berg (18 february, 1919 - october 1994), frequently known by the pseudonym moses david, was the founder and leader of the cult , children of god, also called ""the family international"".",0.16271672179030844
103,"this is a mudra of the buddha of wisdom , and is also known as manjushri's gesture.",varadmudra and abhayamudra are the most common of several other mudras seen on images and icons relating to dharmic traditions .,0.18949213184258085
104,the united states department of state and the israeli ministry of foreign affairs designate hamas as a terrorist organization .,"hamas, acronym of harakat al-muqawama al-islamiyya (arabic: , literally ""islamic resistance movement"" and arabic for 'zeal'), is a palestinian islamist movement, political party , and terrorist organization .",0.1495952261820543
105,april 17 - sun myung moon claims to have a revelation from jesus telling him to complete his mission from almost 2000 years ago.,april 17 - sun myung moon has a revelation from jesus telling him to complete his mission from almost 2000 years ago.,0.88
106,"even up to the present day, men of intellectual eminence have convinced themselves that astrology has a foundation of truth, just as there are still believers in chiromancy or other forms of divination.","even up to the present day, men of intellectual eminence have convinced themselves that astrology has a foundation of truth, just as there are still believers in chiromancy or other forms of divination.",1.0
107,"grossman's famous speech at the rabin memorial november 4, 2006 retrieved november 20, 2006.","grossman's important speech at the rabin memorial november 4, 2006 retrieved november 20, 2006.",0.9444444444444444
108,"the ""body count"" and attrition warfare strategies used in the vietnam war came directly from his attempting to apply his statistical logic worldview to the battlefield.","the ""body count"" and attrition warfare strategies used in the vietnam war came directly from his attempting to apply his flawed statistical logic worldview to the battlefield.",0.9661049965255963
109,"beginning late in his life and continuing after his death, however, evidence and reports have continued to surface of plagiary, inaccuracies and other wrongdoing in his published writings.","beginning late in his life and continuing after his death, however, evidence and reports have continued to surface documenting longtime patterns of plagiarism, falsification, and inaccuracies in many of his published writings and other work .",0.730125734129442
110,the song was also featured on the true crime: new york city soundtrack and tony hawk's proving ground.,the song was also featured on the rival true crime: new york city soundtrack and tony hawk's proving ground.,0.9534969548334766
111,"sinclair was also known for his xenophobic mistreatment of foreigners as depicted in ""waldorf salad"", which was based upon sinclair's reaction to the ""clearly american"" table manners of terry gilliam.","sinclair was also known for his xenophobic mistreatment of foreigners as depicted in ""waldorf salad"", which was based upon sinclair's reaction to the ""clearly american"" table manners of terry gilliam.",1.0
112,"donald mcdonald (abc chairman ), the chair of the australian broadcasting corporation","donald mcdonald (abc chairman ), the chairman of the australian broadcasting corporation",0.9285714285714286
113,the president of iran is the second person to withdraw from the 2007 bandung conference in response to protests over the attendance of the president of israel .,"keith rupert murdoch, ac, kcsg (born 11 march 1931) is a highly successful australian american global media executive and is the controlling shareholder, chairman and managing director of news corporation, based in new york.",0.11224713096404024
114,"some of those remaining, like in edinburgh, have been converted into high street coffee bars, though the city has many dozens remaining untouched , most in various states of disrepair.","some of those remaining, like in edinburgh, have been converted into high street coffee bars, though the city has many dozens remaining untouched - sadly in various states of disrepair.",0.9411764705882353
115,"a 1961 episode of tom and jerry, dicky moe parodies the hunting of the whale with humorous results.","a 1961 episode of tom and jerry, dicky moe parodies the hunting of the whale with hilarious results.",0.95
116,"djson feenberg, an economist at the private national bureau of economic research, claims that the chances of overwritten data being recovered from a modern hard drive amount to ""urban legend"".","daniel feenberg, an economist at the private national bureau of economic research, claims (erroneously) that the chances of overwritten data being recovered from a modern hard drive amount to ""urban legend"".",0.8916319687866956
117,"in early november 2004, mary and heather appeared with the rest of her family at a victory rally for the bush/cheney ticket, causing a virginia pro- family advocate to express disappointment that the bush administration would flaunt a lesbian and her partner on stage in front of supporters who view homosexuality as an immoral or unnatural choice.","in early november 2004, mary and heather appeared with the rest of her family at a victory rally for the bush/cheney ticket, causing a virginia pro- heterosexual advocate to express disappointment that the bush administration would flaunt a lesbian and her partner on stage in front of supporters who view homosexuality as an immoral or unnatural choice.",0.9833333333333333
