Sample Index,Source Text,Predicted Neutral Text,True Neutral Text
100,"colin wilson, author of books such as the reich , said that gardner ""writes...with the conscious superiority of the scientist, and in most cases one can share his sense of the victory of reason.","colin wilson, author of books such as the reich, expressed the opinion that gardner ""writes...with the conscious superiority of the scientist, and in most cases one can share his sense of the victory of reason.""","colin wilson, author of several books promoting topics gardner calls fallacies , said that gardner ""writes...with the conscious superiority of the scientist, and in most cases one can share his sense of the victory of reason."
104,"concepcin velasco varona, known as concha velasco or conchita velasco, is a famous spanish film actress, theatre actress, singer, and tv conductor.","concepcin velasco varona, known as concha velasco or conchita velasco, is a spanish film actress, theatre actress, singer, and tv conductor.","concepcin velasco varona, known as concha velasco or conchita velasco, is a spanish film actress, theatre actress, singer, and tv conductor."
105,"making matters worse, harris had become bush's florida campaign co-chair in october 1999. she had been quoted in a bush campaign press release as saying ""i am thrilled and honored to announce my support of george w. bush for the presidency.""","Harris had become Bush's Florida campaign co-chair in October 1999. She had been quoted in a Bush campaign press release as saying ""I am thrilled and honored to announce my support of George W. Bush for the presidency.""","another point is that harris had become bush's florida campaign co-chair in october 1999. she had been quoted in a bush campaign press release as saying ""i am thrilled and honored to announce my support of george w. bush for the presidency."""
118,"in english, north america is often used to refer to the united states and canada exclusively.","in English, North America is commonly used to refer to the United States and Canada exclusively.","in english, north america is sometimes used to refer to the united states and canada exclusively."
119,"shared source is a term, primarily used by microsoft, to define a pseudo- open source form of code sharing.",No neutral text provided,"shared source is a term, primarily used by microsoft, to define an open source -like form of code sharing."
124,"she co-starred with comedienne imogene coca on broadway in the girls in 509. in october 1963, she and ruth gates appeared in a one-act play, opening night, which played in off-broadway.","she co-starred with comedian imogene coca on broadway in The Girls in 509. In October 1963, she and Ruth Gates appeared in a one-act play, Opening Night, which played off-Broadway.","she co-starred with comedian imogene coca on broadway in the girls in 509. in october 1963, she and ruth gates appeared in a one-act play, opening night, which played in off-broadway."
128,"the exponential increases in disk space and data access speeds of hdds have enabled the commercial viability of consumer products that require large storage capacities, such as the microsoft zune digital music player and the tivo personal video recorder .","the exponential increases in disk space and data access speeds of hdds have enabled the commercial viability of consumer products that require large storage capacities, such as the tivo personal video recorder and digital music player s .","the exponential increases in disk space and data access speeds of hdds have enabled the commercial viability of consumer products that require large storage capacities, such as the tivo personal video recorder and digital music player s ."
129,"it has annexed in the past an undeveloped area to the north, and has also annexed the former el toro marine corps air station, most of which is to be made into a park called the orange county great park.","it has annexed in the past an undeveloped area to the north, and has also annexed the former El Toro Marine Corps Air Station, with plans for most of it to be transformed into a park known as the Orange County Great Park.","it has annexed in the past an undeveloped area to the north, and has also annexed the former el toro marine corps air station, most of which is planned to be converted into the orange county great park."
137,"he is the first to publish video footage of the cremation of care ritual, in which some of the most powerful men in the world stage the sacrifice of a human being.",No neutral text provided,"he has published video footage purporting to be the cremation of care ritual, in which some of the most powerful men in the world allegedly stage the sacrifice of a human being."
154,"the junge freiheit (jf, young freedom) is a far right german weekly newspaper for politics and culture.","the junge freiheit (jf, young freedom) is a conservative german weekly newspaper for politics and culture.","the junge freiheit (jf, young freedom) is a national-conservative german weekly newspaper for politics and culture."
155,"hamble was replaced in the later years of the series by poppy who, in response to changing sensibilities and attitudes , was black.","hamble was replaced in the later years of the series by poppy, reflecting changing sensibilities and attitudes, who was portrayed as a black character.","hamble was replaced in the later years of the series by poppy who, in response to changing attitudes in society , was black."
165,"ibm recently announced plans for an exciting new lotus quickplace 8.0, coming in 2007.",ibm recently announced plans for an upcoming release of lotus quickplace 8.0 scheduled for 2007.,"ibm recently announced plans for lotus quickplace 8.0, coming in 2007."
168,"originally, tomas rodriguez wrote this song in the century xv in his hometown, valladolid (best town ever, by the way) .",No neutral text provided,"originally, tomas rodriguez wrote this song in the century xv in his hometown, valladolid."
170,"the war in donbass (also known as the war in ukraine or war in eastern ukraine , often simply referred to as ukrainian civil war ) is an ongoing armed conflict in the donbass region of ukraine.",No neutral text provided,the war in donbass (also known as the war in ukraine or war in eastern ukraine) is an ongoing armed conflict in the donbass region of ukraine.
173,"the departed is a 2006 academy award-winning film directed by martin scorsese, starring leonardo dicaprio, matt damon, jack nicholson, mark wahlberg, martin sheen, alec baldwin, and ray winstone.",No neutral text provided,"the departed is a 2006 film directed by martin scorsese, starring leonardo dicaprio, matt damon, jack nicholson, mark wahlberg, martin sheen, alec baldwin, and ray winstone."
174,"he was awarded the prestigious raja-lakshmi literary award for the year 1995 from sri raja-lakshmi foundation, chennai",No neutral text provided,"he was awarded the raja-lakshmi literary award for the year 1995 from sri raja-lakshmi foundation, chennai"
179,"elizabeth may celebrate her diamond jubilee in 2012, marking 60 years on the thrones .",No neutral text provided,"elizabeth may celebrate her diamond jubilee in 2012, marking 60 years as queen ."
180,"kelly is well-known for playing luther in the 1979 classic film the warriors, where he screeches the famous line, ""warriors, come out to play-ee-ay!!",No neutral text provided,"kelly is well-known for playing luther in the 1979 film the warriors, where he screeches the famous line, ""warriors, come out to play-ee-ay!!"
185,"however, during media interviews palin showed she lacked knowledge on certain key issues, and that cast doubt among many voters about her qualifications to be vice president or president.","during media interviews, it was apparent that Palin had gaps in her knowledge on certain key issues, which raised concerns among many voters about her qualifications to be vice president or president.","however, media interviews suggested that palin lacked knowledge on certain key issues, and they cast doubt among many voters about her qualifications to be vice president or president."
196,"strong disapproval of disco among some rock fans, for whom disco was a mirror on their absence of character and talent , existed throughout the disco era, growing as disco's influence grew, such that the expression ""disco sucks"" was common by the late-1970s among these fans.","Some rock fans strongly disapproved of disco during the disco era, which escalated as disco's influence increased. The phrase ""disco sucks"" became common among these fans by the late 1970s.","strong disapproval of disco among some rock fans, many of whom are thought to have disapproved of the percieved black and gay overtones of disco music , existed throughout the disco era, growing as disco's influence grew, such that the expression ""disco sucks"" was common by the late-1970s among these fans."
201,"joseph edward macmanus (may 23 1970 – february 5 1992), was a volunteer within the sligo brigade of provisional irish republican army (ira).",No neutral text provided,"joseph edward macmanus (may 23 1970 – february 5 1992), was a member of the sligo brigade of provisional irish republican army (ira)."
202,a gentleman with a typical appletini,a person with a typical appletini,a person with a typical appletini
203,"outside the body of the mother,"" or ""in the case of head-first presentation, the entire fetal head is outside the body of the mother,"" in order to ""kill the partially delivered living fetus . ""","outside the body of the mother,"" or ""in the case of head-first presentation, the entire fetal head is outside the body of the mother,"" in order to ""perform the procedure of ending the pregnancy.","outside the body of the mother,"" or ""in the case of head-first presentation, the entire fetal head is outside the body of the mother,"" before the fetus is terminated ."
211,"hofstra became the center of national controversy in september 2009 when an eighteen year old student, danmell ndonye, accused five men of gang raping her in a hofstra dormitory bathroom.","events at hofstra attracted the attention of national news media in september 2009 when an eighteen year old student, danmell ndonye, accused five men of gang raping her in a hofstra dormitory bathroom.","events at hofstra attracted the attention of national news media in september 2009 when an eighteen year old student, danmell ndonye, accused five men of gang raping her in a hofstra dormitory bathroom."
213,"following the onset of the reclaimed water pipeline construction in 2011, native activists and environmentalists have launched ongoing protests against the snowbowl.","following the onset of the reclaimed water pipeline construction in 2011, activists and environmentalists have launched ongoing protests against the snowbowl.","following the onset of the reclaimed water pipeline construction in 2011, activists have launched ongoing protests against the snowbowl."
223,"texas media watch, a cover entity run by republican media consultant sherry sylvester, called the memo an example of ""orchestrated bias.""","texas media watch, an entity run by media consultant Sherry Sylvester, called the memo an example of ""orchestrated bias.""","texas media watch, a media watchdog group run by republican media consultant sherry sylvester, called the memo an example of ""orchestrated bias."""
225,"even though this film won a national award, doordarshan was forced to cancel a scheduled a tv screening and the tamil press ignored the film as the brahmin lobby tried to have the film banned .",No neutral text provided,"even though this film won a national award, doordarshan was forced to cancel a scheduled a tv screening due to protests ."
227,"irreducible complexity is the discredited argument that certain biological systems are too complex to have evolved from simpler, or ""less complete"" predecessors.","irreducible complexity is the argument posited by proponents of intelligent design that certain biological systems are too complex to have evolved from simpler, or ""less complete"" predecessors.","irreducible complexity is the creation science argument that certain biological systems are too complex to have evolved from simpler, or ""less complete"" predecessors."
231,"blair forged friendships with several conservative european leaders, including silvio berlusconi of italy, angela merkel of germany and later nicolas sarkozy of france.",No neutral text provided,"blair forged friendships with several european leaders, including silvio berlusconi of italy, angela merkel of germany and later nicolas sarkozy of france."
242,tripoli university is one of the best private universities in tripoli-libya,No neutral text provided,tripoli university is a private university in tripoli-libya
254,"soon thereafter, russian troops under authorization from vladimir putin mobilized throughout the crimean peninsula, fully occupying the peninsula .",No neutral text provided,"soon thereafter, russian troops under authorization from vladimir putin mobilized throughout the crimean peninsula, taking full military control ."
257,he attended the prestigious julia r. masterman high school for middle school and high school.,He attended Julia R. Masterman High School for middle school and high school.,he attended julia r. masterman high school for middle school and high school.
258,"a pearl is a hard, pretty object produced within the soft tissue (specifically the mantle) of a living shelled mollusk.",No neutral text provided,"a pearl is a hard, rounded object produced within the soft tissue (specifically the mantle) of a living shelled mollusk."
261,"designer (jewellery, lingerie, sleepwear), animal rights activist, vegetarian cook - creator of love lunch, monthly blogger for the carousel, travel blogger, social media phenomenon with over 3 million followers.",No neutral text provided,"she is a designer (jewellery, lingerie, sleepwear), an animal rights activist, a vegetarian cook and creator of love lunch, a monthly blogger for the carousel, a travel blogger, and a social media personality with over 2.5 million followers."
278,"the local derby between the city's two principal basketball clubs, fortitudo and virtus (often called after the clubs' principal sponsors), is one of the most intense in the entire world of sports .",No neutral text provided,"the local derby between the city's two principal basketball clubs, fortitudo and virtus (often called after the clubs' principal sponsors), is intense."
279,"on the other hand, he was responsible for the violent death of more people than any other individual before the 20th century.",he was responsible for the deaths of a significant number of people prior to the 20th century.,"on the other hand, he was responsible for the death of many people and destruction of properties."
280,"carl ray (19431978) was a first nations artist who was active on the canadian art scene from 1969 until his passing in 1978. considered primarily a woodlands style artist, he also painted european style wildlife and landscapes.",No neutral text provided,"carl ray (19431978) was a first nations artist who was active on the canadian art scene from 1969 until his death in 1978. considered primarily a woodlands style artist, he also painted european style wildlife and landscapes."
282,"when the national assembly is controlled by his opponents, however, the president can find himself marginalized with the opposition party prime minister exercising most of the power.","when the national assembly is controlled by the opposition party, however, the president can find themselves marginalized with the opposition party prime minister exercising most of the power.","when the national assembly is controlled by their opponents, however, the president can find themselves marginalized with the opposition party prime minister exercising most of the power."
286,"the vice-president, ali belhadj, a younger and less educated algiers preacher who had already played a significant role in the october demonstrations, made aggressively radical speeches that rallied dissatisfied lower-class youth and alarmed non-islamists with his clear-cut rejection of democracy and repressive views on women.","the vice-president, ali belhadj, a younger and less educated algiers preacher who had already played a significant role in the october demonstrations, made assertive speeches that mobilized dissatisfied lower-class youth and concerned non-islamists with his strong stance against democracy and traditional views on women.","the vice-president, ali belhadj, a younger and less educated algiers preacher who had already played a significant role in the october demonstrations, made aggressively radical speeches that rallied dissatisfied lower-class youth and alarmed non-islamists with his clear-cut rejection of democracy and conservative views on women."
303,she won the seat despite a 1 .3 percent swing against her towards liberal national party candidate bill glasson.,"she won the seat with a 51.8% two-party vote against the liberal national party candidate Bill Glasson, despite a 1.3% swing against her.",she won the seat with a 51.8 (1 .3 ) percent two-party vote against liberal national party candidate bill glasson.
315,... that the nazi plunder of european treasures saved leonardo da vinci's rearing horse and mounted warrior (pictured) from the red army?,No neutral text provided,... that the nazi plunder of european treasures prevented leonardo da vinci's rearing horse and mounted warrior (pictured) from falling to the red army?
320,"many countries import domestic workers from abroad, usually poorer countries, through recruitment agencies and brokers because their own nationals are no longer obliged or inclined to work in underpaid, difficult or exploitive jobs .","many countries import domestic workers from abroad, usually poorer countries, through recruitment agencies and brokers due to a lack of interest or availability of domestic workers in certain job sectors.","many countries import domestic workers from abroad, usually poorer countries, through recruitment agencies and brokers because their own nationals are no longer obliged or inclined to do domestic work ."
330,"despite being commonly considered less important in the early 21st century than during most of the 20th, there is still a presence of marxist approaches in western academic fields of research ; these include anthropology, media studies, theatre, history, economics , literary criticism, aesthetics and philosophy.","In the early 21st century, Marxist approaches continue to have a presence in a variety of Western academic fields, including anthropology, media studies, theatre, history, economics, literary criticism, aesthetics, and philosophy.","a theoretical presence of marxist approaches in western academic fields of research is present in the disciplines of anthropology, media studies, theatre, history, economics , literary criticism, aesthetics and philosophy."
342,"after the santa ana register published its article, a nationwide network of far-rightists, anti-communists and fringe religious groups began a vociferous campaign to torpedo the alaska mental health bill.","after the Santa Ana Register published its article, a nationwide network of individuals and groups began a campaign to oppose the Alaska mental health bill.","after the santa ana register published its article, a nationwide network of activists began a vociferous campaign to torpedo the alaska mental health bill."
343,"shamil salmanovich basayev (january 14, 1965 july 10, 2006) was a militant islamist terrorist and a leader of the chechen separatist movement.","Shamil Salmanovich Basayev (January 14, 1965 – July 10, 2006) was involved in militant activities and associated with the Chechen separatist movement.","shamil salmanovich basayev (january 14, 1965 july 10, 2006) was a militant islamist and a leader of the chechen separatist movement."
346,papa john's facebook page continues to be filled with supportive comments in favor of a price increase in order to allow current employees the ability to receive health insurance.,"""Papa John's Facebook page has seen an increase in comments supporting a price increase to provide health insurance for current employees.""",papa john's facebook page continues to be filled with comments in favor of a price increase in order to allow current employees the ability to receive health insurance.
356,"joseph r. (joe) francis (born april 1, 1973) is a pornographer and the founder of mantra films, inc., which produces the girls gone wild and guys gone wild dvd series.",No neutral text provided,"joseph r. (joe) francis (born april 1, 1973) is the founder of mantra films, inc., which produces the girls gone wild and guys gone wild dvd series."
359,"in a dialogue between derrida and cixous, this is one of the many good things that derrida has to say about cixous: ""helene's texts are translated across the world, but they remain untranslatable.",No neutral text provided,"in a dialogue between derrida and cixous, derrida said about cixous: ""helene's texts are translated across the world, but they remain untranslatable."
360,both sides carried out brutal acts: the anti-treaty forces murdered tds and burned many historic homes while the government murdered anti-treaty prisoners.,"both sides engaged in violent acts: the anti-treaty forces murdered tds and burned many historic homes, while the government executed anti-treaty prisoners.","both sides carried out brutal acts: the anti-treaty forces murdered tds and burned many historic homes while the government executed anti-treaty prisoners , officially and unofficially ."
361,the amu students and alumni supported the vc and slammed media for biased reporting.,No neutral text provided,a section of the amu student body and alumni supported the vc however and slammed the media for biased reporting.
377,"raymie muzquiz (born december 21, 1960) is an primetime emmy award-nominated american animation director.","raymie muzquiz (born december 21, 1960) is an american animation director.","raymie muzquiz (born december 21, 1960) is an american animation director."
380,"in autumn, 2003, alra combined with the more radical pro-choice group , national abortion campaign ( founded in the 1970s to defend the abortion act against pro-life efforts) , to form abortion rights.",No neutral text provided,"in 2003, alra combined with the more the group national abortion campaign , which was founded in the 1970s, to form abortion rights."
392,"at his memorial, tillman's brother rich claimed that pat was not religious:","at his memorial, Tillman's brother Rich mentioned that Pat was not religious:","at his memorial, tillman's brother rich stated that pat was not religious:"
400,"in the tenth year of the hijra, as documented in the qur'an (sura 9:36-37), allah - god the almighty revealed the prohibition of the nasi.",No neutral text provided,"in the tenth year of the hijra, as documented in the qur'an (sura 9:36-37), muslims believe god (allah) revealed the prohibition of the nasi."
410,"book, ""the diamond age"", by neal stephenson seminal work on nanotechnology; explores the future with extraordinary prescience.","The book ""The Diamond Age"" by Neal Stephenson explores nanotechnology and the future.","book, ""the diamond age"", by neal stephenson fictional novel featuring nanotechnology"
416,"in a career that lasted from 1922 until her death, syrie maugham became a legendary interior designer credited for designing the first all-white room.","in a career that lasted from 1922 until her death, Syrie Maugham became an influential interior designer known for designing the first all-white room.","in a career that lasted from 1922 until her death, syrie maugham became an interior designer credited for designing the first all-white room."
422,"however mckitrick's work on global warming has been severely criticized not just by climatologists but by professional statisticians for errors including crude mathematical mistakes (mckitrick apparently failed to understand the difference between angles measured in degrees and radians ), basic physics , statistical procedures and , rather bizarrely, inventing a new scale for inventing temperatures, with a unique method of averaging them, to make his own calculations reached a result that ""disproved"" global warming when he couldn 't do so using any accepted scale .","however, Mckitrick's work on global warming has faced criticism from both climatologists and professional statisticians for errors, including mathematical mistakes (such as confusion between angles measured in degrees and radians), misunderstandings of basic physics, statistical procedures, and the creation of a new temperature scale with a unique method of averaging. These criticisms have questioned the validity of his calculations attempting to disprove global warming using his unconventional scale.","however mckitrick's work on global warming has been severely criticized not just by climatologists but by professional statisticians for errors including crude mathematical mistakes (mckitrick apparently failed to understand the difference between angles measured in degrees and radians ), basic physics , statistical procedures and inventing a new scale for inventing temperatures, with a unique method of averaging them, which caused his own calculations reach a result that ""disproved"" global warming when this wasn 't the case with any accepted scale ."
423,"known by his nickname ""ben"" or the altogether more stirring ""lion hitter"", he was an top -quality all-rounder.",No neutral text provided,"known by his nickname ""ben"" or the altogether more stirring ""lion hitter"", he was a high -quality all-rounder."
425,they are known not to care about the almost universal negative critcism of them.,they are known not to care about the criticism directed towards them.,they are known not to care about any negative critcism of them.
441,"arad (romanian: arad, hungarian: arad, serbian: arad/) is a county (jude) in western romania, in transylvania - criana region, with the capital city at arad (population: 185,272).",No neutral text provided,"arad is a county (jude) in western romania, in transylvania - criana region, with the capital city at arad (population: 185,272)."
444,"due to the police operational background of iam examiners, candidates can expect them to be practical and pragmatic , not to mention an often infectious enthusiasm for driving .","Candidates can expect IAM examiners to be practical, pragmatic, and enthusiastic about driving, thanks to their police operational background.","due to the police operational background of iam examiners, candidates can expect them to be practical and pragmatic."
450,"the queen's representative, the governor-general of new zealand has his or her own flag.",No neutral text provided,"the queen's representative, the governor-general of new zealand has their own flag."
462,"in a may 15, 2007 gop debate in south carolina, ron paul took a close second (25%) to mitt romney, who received the most votes (29%) in a fox news voodoo poll .","in a May 15, 2007 GOP debate in South Carolina, Ron Paul received 25% of the votes, coming in second place to Mitt Romney who received 29% of the votes in a Fox News poll.","in a may 15, 2007 gop debate in south carolina, ron paul took a close second (25%) to mitt romney, who received the most votes (29%) in a fox news sponsored text messaging poll."
469,"park chung-hee ( november 14, 1917 october 26, 1979) was a former republic of korea army general and the dictator of south korea from 1961 to 1979. park seized power in 1961 through a military coup d'tat and ruled as an unelected military strongman until his election as the third president of south korea in 1963. in 1972 he declared martial law, suspended the country's constitution and made himself president for life.",No neutral text provided,"park chung-hee ( november 14, 1917 october 26, 1979) was a former republic of korea army general and the president of south korea from 1963 to 1979. park seized power in south korea in 1961 through a military coup d'tat and ruled as an unelected military strongman until his election as the third president of south korea in 1963. in 1972 he declared martial law, suspended the country's constitution and made himself president for life."
474,"avigdor liberman (b. june 5 1958, kishinev, soviet union) is a radical right israeli politician and head of the yisrael beiteinu party.","avigdor liberman (b. june 5 1958, kishinev, soviet union) is an Israeli politician and head of the Yisrael Beiteinu party.","avigdor liberman (b. june 5 1958, kishinev, soviet union) is a right-wing israeli politician and head of the yisrael beiteinu party."
475,"after graduation, dodds spent two years in broadway and off broadway productions, before being spotted by british comedian ben elton, and came to london in 1997 to play a bunny girl in elton's play popcorn.","after graduation, Dodds spent two years in Broadway and Off-Broadway productions before being discovered by British comedian Ben Elton. She moved to London in 1997 to play a bunny girl in Elton's play Popcorn.","after graduation, dodds spent two years in broadway and off broadway productions, before being spotted by british comedian ben elton, and moved to london in 1997 to play a bunny girl in elton's play popcorn."
478,"november 15, 2014: at the party's annual general meeting, members vote 148-109 against a resolution supporting equal rights for all minority groups, regardless of race, religious belief, sexual orientation or other differences.",No neutral text provided,"november 15, 2014: at the party's annual general meeting, members vote 148-109 against a resolution that would have replaced the existing wildrose policy supporting equality for ""all albertans"" with one that listed thirteen separate categories."
479,"governor spitzer made his iconic rise to victory in new york city politics promising ""ethics and integrity to be the hallmarks of his administration.""","Governor Spitzer entered the political scene in New York City with a platform focused on promoting ""ethics and integrity as the hallmarks of his administration.""","governor spitzer campaigned on a promise that ""ethics and integrity to be the hallmarks of his administration."""
482,"although regarded as a hero in unionist circles, he was considered a terrorist by many people .","although regarded as a hero in unionist circles, he was considered a terrorist by some individuals .","although regarded as a hero in unionist circles, he was considered a terrorist by others ."
487,"the ultra-right nationalist political party ""svoboda"", marginal on the national scale, often invokes the radical russophobic rhetoric (see poster) and has sufficient electoral support to form factions in several municipal and provincial local councils in western ukraine.","the ultra-right nationalist political party ""svoboda"", marginal on the national scale, often espouses strong anti-Russian sentiments (see poster) and has enough electoral support to form factions in several municipal and provincial local councils in western Ukraine.","the ultra-right nationalist political party ""svoboda"", marginal on the national scale, often invokes the russophobic rhetoric (see poster) and has sufficient electoral support to form factions in several municipal and provincial local councils in western ukraine."
490,sloane was paired with a handsome arab prince prince ali peter lochran which gave the opportunity for some exotic love scenes.,"sloane was paired with an arab prince, prince ali peter lochran, which provided the opportunity for some diverse romantic scenes.","sloane was paired with an arab prince , prince ali peter lochran , which gave the opportunity for some exotic love scenes."
493,"an 'all' detergent executive disrespected moms when she described all's demographic as ""women with children"" and then emphasized ""not moms!""","an 'all' detergent executive mentioned all's demographic as ""women with children"" and then emphasized ""not moms!""","an 'all' detergent executive described all's demographic as ""women with children"" and then emphasized ""not moms!"""
