Sequence,Predicted Neutral Text,True Neutral Text,BLEU Score
81,No neutral text provided,"the chinese government would have to erect on the spot of the assassination of baron von ketteler a commemorative arch inscribed in latin, german, and chinese .",0.0
82,"The Salvation Army's fundraising shops in the United Kingdom take part in the UK government's work programme, in which benefit claimants are required to work 20 to 40 hours per week without compensation for periods that can last up to 6 months.","the salvation army's fundraising shops in the united kingdom participate in the uk government's work programme, a welfare-to-work programme where benefit claimants work 20 to 40 hours per week over periods that can be as long as 6 months.",0.5869565217391305
83,"there is a recreational park in Pudsey that includes Pets Corner, an aquarium, bird houses, a tropical greenhouse, and a large play area for children.","there is a recreational park in pudsey; features include pets corner, aquarium, bird houses, tropical greenhouse and a large play area for children.",0.7333333333333333
84,No neutral text provided,"in contrast to his on stage personality, reznor is often credited to be shy, soft spoken and reclusive .",0.0
85,No neutral text provided,"indeed, garp's son (walt) is accidentally killed and his other son injured because helen, while attempting to break off her affair with one of her students, agrees to fellatio as a sort of going-away present.",0.0
86,No neutral text provided,bulgarian linguistics and dialectology consider all slavic dialects spoken in the geographical regions of macedonia (region) and thrace to be dialects of bulgarian.,0.0
87,"there were alleged cases of corruption and discrepancies in the Malaysian election system that reportedly favored the ruling political party, Barisan National.","there were tremendous alleged corruption and discrepancies in the malaysian election system that allegedly heavily favour on the ruling political party, barisan national.",0.6794258654523062
88,No neutral text provided,"president george w. bush announces a surge of 20,000 more troops to fight in the war in iraq in a televised speech .",0.0
89,The United Kingdom was one of the first European countries to have a Taco Bell.,the united kingdom was the first eu country with a taco bell.,0.3125
90,No neutral text provided,april 17 - sun myung moon claims to have a revelation from jesus telling him to complete his mission from almost 2000 years ago.,0.0
91,No neutral text provided,bill roper is a video game developer and has been a well-known figure in the worldwide gaming industry for over a decade.,0.0
92,it is a well-known British public school and is widely recognized for its reputation.,it is a pre-eminent british public school and is widely considered to be one of the most famous schools in the world.,0.351987731706019
93,The Westminster Abbey Museum is situated in the 11th-century vaulted undercroft of St. Peter beneath the former monks' dormitory in Westminster Abbey.,the westminster abbey museum is located in the 11th century vaulted undercroft of st peter beneath the former monks' dormitory in westminster abbey.,0.5595271833136639
94,"earthlings is a documentary that includes images intended to illustrate mankind's relationship with animals for pets, food, clothing, entertainment, and use in experimentation.","earthlings is a documentary about mankind's dependence on animals for pets, food, clothing, entertainment, and use in experimentation.",0.7241379310344828
95,No neutral text provided,he left his village at the age of 13 and enrolled as a mercenary in the ottoman militia of the local ruler ali pasha.,0.0
96,"Japan also does not recognize the Australian claim to Australian Antarctic territorial waters, in which Japanese ships conduct whaling.",japan also does not recognise the australian claim to australian antarctic territorial waters in which japanese ships conduct whaling.,0.6666666666666666
97,No neutral text provided,"monica hesse of the washington post wrote that upon discovery of the hoax, bloggers, women, gays and lesbians, and syrians were unhappy, since a blog that claimed to be one of them was written by an american straight male.",0.0
98,"shuttleworth claimed to be one of the first Africans in space, but it is noted that Patrick Baudry, a French astronaut with Cameroonian descent, also holds that achievement.","shuttleworth claimed to be the first african in space, but some point out that patrick baudry - a french astronaut who was in space before shuttleworth - was born in cameroon .",0.42403954008340056
99,"In March 2009, Bolthouse Vox announced a joint venture and alliance with Wolfgang Puck Catering, where all Bolthouse Vox events would be catered exclusively by Wolfgang Puck.","in march 2009 , bolthouse vox announced a joint venture with wolfgang puck catering through which all bolthouse vox events will be catered by wolfgang puck.",0.43333333333333335
100,No neutral text provided,"rodney glen king (born april 2, 1965) is an american best known for his involvement in a police brutality case involving the los angeles police department (lapd) on march 3, 1991. a bystander, george holliday, videotaped much of the incident from a distance.",0.0
101,No neutral text provided,"gladys rockmore davis (may 11, 1901- february 16, 1967) was an american artist who worked in both commercial and fine arts, and gave up a career in advertising art to work in creative painting.",0.0
102,No neutral text provided,"since the finished product, if bottled, will produce a carbonated beverage , it provides a alternative to sweet soda drinks for children and adults.",0.0
103,No neutral text provided,"other sources described the book as ""hagiographic,"" with author max boot saying he would have liked to have seen ""a more objective"" portrait of petraeus presented.",0.0
104,No neutral text provided,"loss of control, constriction, overcrowding, high speeds/accelerations, height and other phobias may also discourage use of public transport.",0.0
105,No neutral text provided,"tuallg in the south became what is now south ossetia, part of the historical georgian principality of samachablo .",0.0
106,No neutral text provided,"the palmarian catholic church (one holy catholic apostolic and palmarian church) is a schismatic catholic church with its own, self-acclaimed pope, peter ii.",0.0
107,she gained national attention when she took her own life following persistent bullying from classmates.,she became known throughout the united states when she committed suicide after constant bullying from classmates.,0.4109932149808957
108,"Henry IV and his advisor, the Duc de Sully continued the work of reconstruction in France.","henry iv and his advisor, the duc de sully continued the work of reconstruction and led france.",0.6306396459378436
109,corba supports several features which it claims that no other single technology brings in one package.,corba supports several features which it claims that no other single technology brings in one package.,1.0
110,No neutral text provided,"david brandt berg (18 february, 1919 - october 1994), frequently known by the pseudonym moses david, was the founder and leader of the religious movement , children of god, also called ""the family international"".",0.0
111,"following the 1993 federal election, Tobin was appointed minister of fisheries and oceans for his loyalty to Chretien.","following the 1993 federal election in which the liberals regained power from the progressive conservatives after almost a decade in opposition, tobin was appointed minister of fisheries and oceans.",0.40386486726634063
112,No neutral text provided,"however, he has also stated that the purpose of his repeated incarnations is to continue unfinished work and, as such, if the situation in tibet remains unchanged, it is very likely that he will be reborn to finish his work .",0.0
113,No neutral text provided,"kjetil person siem (born september 29, 1960) is a norwegian businessperson, journalist, author and sports official.",0.0
114,No neutral text provided,"the bush administration has criticized icc's lack of checks and balances, while some counter that the us administration itself has denied such checks and balances to terror suspects.",0.0
115,"daniel koren is a musician, comedian and director based in Brooklyn.","daniel koren is a brooklyn-based musician, comedian and director.",0.7692307692307693
116,"Irwin shot a second round of 62 at Pinehurst for a 15-under par opening 36-hole total of 127, which was the best in any PGA Tour event for over a decade.","irwin shot a second round of 62 at pinehurst for a 15-under par opening 36-hole total of 127, which was the best in any pga tour event for over a decade.",0.8787878787878788
117,No neutral text provided,"after attaining the state of clear, a person may go on to study the operating thetan levels, in which scientologists allegedly remove their body thetans (souls attached to or making up the body).",0.0
118,No neutral text provided,"swift's ministry of today and church was later reconstituted and is now run by a council including pastor jonathan williams of atlanta, ga.",0.0
119,No neutral text provided,it primarily sells a variety of hot and cold tea-based signature drinks.,0.0
120,"jimmy wales (born 1966), a co-founder of Wikipedia and chairperson emeritus of Wikipedia's board of trustees.","jimmy ""jimbo"" wales (born 1966), founder of wikipedia and chairperson emeritus of wikipedia's board of trustees",0.7264738703493154
121,No neutral text provided,"prior to his renunciation of citizenship, black and his supporters had argued that this strict interpretation of the nickle resolution by canadian prime minister jean chrtien was payback for black's past verbal sparrings with chretien and his political opinions.",0.0
122,the kia rio is a subcompact car produced by the South Korean manufacturer Kia since August 2000 and is now in its fourth generation.,the kia rio is a subcompact car produced by the south korean manufacturer kia since august 2000 and now in its fourth generation.,0.8
123,No neutral text provided,"the paratroopers were the ones to capture the wailing wall and the temple mount - a moment that is considered as ""historic"" and the ""highlight of this war"" by the majority of the israeli public, mainly due to the sacredness of these places to the jewish people.",0.0
124,No neutral text provided,"it was met with opposition by the student body but greg watson, the principal, pled ignorance to the issue and has stated that he had received positive support regarding it.",0.0
125,No neutral text provided,"the language is sometimes referred to in english as gaelic (sampa: /""geilik/) or irish gaelic but is more generally referred to in ireland simply as the irish language or simply irish are preferred.",0.0
126,No neutral text provided,hin the grand final he was unable to secure the points needed with neil kelly's widnes vikings running out victors 24-12.,0.0
127,No neutral text provided,"bachmann has taken a strong opposition to the legalization of abortion and has been endorsed in her runs for congress by the susan b. anthony list and minnesota citizens concerned for life; at a debate among presidential candidates in new hampshire, when asked if abortion should be allowed in cases of rape or incest, bachmann responded that she is ""100 per cent pro-life"".",0.0
128,No neutral text provided,"gill has been controversial in his view of welsh people; in 1998 his descriptions of welsh people as ""dark, ugly little trolls"" in the sunday times were reported to the commission for racial equality as racist.",0.0
129,No neutral text provided,"in summary myllykoski wrote ""the authenticity and significance of the ossuary has been defended by shanks (2003), while other scholars argue this is a modern forgery.""",0.0
130,"one of the largest historical famines (proportional to the affected population) was the Irish Potato Famine, which began in 1845. During this period, food was shipped from Ireland to England because the English could afford to pay higher prices.","one of the largest historical famines (proportional to the affected population) was the irish potato famine, which began in 1845 and occurred as food was being shipped from ireland to england because the english could afford to pay higher prices.",0.7555555555555555
131,"not a penny more, not a penny less was Jeffrey Archer's first novel, first published in 1976. It is considered one of his notable works.","not a penny more, not a penny less was jeffrey archer's first novel, first published in 1976. it was said to have been inspired by archer's real-life experience of near-bankruptcy.",0.5361050924307222
132,"as a member of the standing committee and president of the regional group (national front/gathering for the nord-pas-de-calais), she led an opposition facing the left-wing regional executive managed by Daniel Percheron.","as a member of the standing committee and a president of the regional group (national front/gathering for the nord-pas-de-calais), she led a resolute opposition facing the left-wing regional executive managed by daniel percheron.",0.8635054966810238
133,"His attacks on Swedish player Lars-Erik Ericsson (who received a stick in the eye), as well as Russian players Sjadrin, Jakusjev, and Babinov (who were all knocked unconscious) should have led to his indefinite suspension.","paiement attacked swedish player lars-erik ericsson (who received a stick in the eye), as well as russian players sjadrin, jakusjev and babinov (who were all knocked unconscious).",0.5813953488372093
134,No neutral text provided,boston university school of law offers a broad selection of legal classes and seminars (approximately 150) with a student to faculty ratio at 12:1.,0.0
135,No neutral text provided,many types of aircraft are stationed here at any given time but the numbers and type of aircraft and personel are deemed classified for the safety of the personnel assigned there .,0.0
136,david barton is an author and historian who writes about the church-state relationship in the united states of america.,david barton is an author and historian who talks about the church-state relationship in the united states of america.,0.95
137,"the game and hardy little dogs were useful as ratters in the stable yard, bolters of fox for the hunt, and family companions.","the dogs were useful as ratters in the stable yard, bolters of fox for the hunt, and family companions.",0.8461538461538461
138,No neutral text provided,"the mclaren f1 is considered by many to still be the greatest supercar, ever made.",0.0
139,"he believes Israel is continuing to build settlements on what he considers Palestinian land, in violation of international agreements such as the Camp David Accords, the Oslo Accord, and the Road Map.","he regards israel 's consistent refusal to stop building settlements on palestinian land, in defiance of international undertakings, from camp david, to the oslo accord and the road map, as 'the most criminal enterprise in its history'.",0.3659075179670135
140,"While Muslim tradition tends to praise Muhammad, Western tradition has at times portrayed him negatively.","while muslim writers have tended to speak highly muhammad, western tradition has at times been critical of him.",0.3944580858461176
141,No neutral text provided,thug 2 also sees the return of the classic mode .,0.0
142,"the league of the south has been accused of being racist, a charge the league denies.","the league of the south has been described as racist, a charge the league denies.",0.8333333333333334
143,"Despite their common religion of Islam, the ethnic and linguistic differences between the two wings, compounded by a perceived lack of support from the government based in West Pakistan, led to the independence of Bangladesh in 1971 after the Bangladesh Liberation War, during which it received support from India.","despite their common religion of islam, the ethnic and linguistic gulf between the two wings, compounded by an apathetic government based in west pakistan, resulted in the independence of bangladesh in 1971 after the bloody bangladesh liberation war, in which it was supported by india.",0.5740740740740741
144,No neutral text provided,"in 2010, as host of q&a, jones apologized to former prime minister john howard after a man threw his shoes at the howard in protest against the iraq war.",0.0
145,No neutral text provided,"the second silesian uprising was the second out of three uprisings of the polish people in the upper silesia region against the german government in order to separate the region from germany and join poland, which had been established following world war i (1914-1918).",0.0
146,No neutral text provided,arafat's widow suha arafat reportedly said on dubai television in december 2012 that her husband had planned the uprising.,0.0
147,No neutral text provided,"the razzie awards declared shining through the worst picture of 1992, with melanie griffith being voted worst actress and david seltzer for worst director.",0.0
148,No neutral text provided,"microsoft has talked about the idea of ""delighters"" - updates that will be regularly rolled out over time to extend the platform 's functionality .",0.0
149,"She is known for her innovative music videos, elaborately mounted stage performances, and use of political, sexual, and religious themes and imagery in her work.","sometimes referred to as the ""queen of pop"", she is noted for her innovative music videos, elaborately mounted stage performances, and use of political, sexual, and religious themes and imagery in her work.",0.6468379120806788
150,No neutral text provided,"judy garland (born frances ethel gumm; june 10, 1922 â june 22, 1969) was an oscar-nominated american film actress, considered by many to be one of the greatest singing stars of hollywood's golden era of musical film, best known for her role as dorothy gale from the wizard of oz.",0.0
151,"when a leader is free to speak, trade, and travel, but does not allow their people the same freedoms, they are breaking the rule.","when a leader is free to speak, trade and travel, but doesn't allow his or her people the same freedoms, the leader is breaking the rule.",0.7724349221890119
152,"""The history of KKE is regarded as a significant aspect of modern Greek history.""",the history of kke is an integral part of modern greek history.,0.4117647058823529
153,"founded in 1821, McGill is considered to be a prestigious university in Canada.","founded in 1821, mcgill is considered to be one of the best universities in canada.",0.583448879361965
154,"the kfir entered service with the iaf in 1975, the first units being assigned to the 101st squadron.","the kfir entered service with the iaf in 1975, the first units being assigned to the 101st ""first fighter"" squadron.",0.8187307530779819
155,"hilary du pr was born in woking, surrey, and was the eldest child in a family with an accountant father and a pianist mother.","hilary du pr was born in woking, surrey, the eldest child of an upper middle-class, family headed by an accountant father and a pianist mother.",0.7566394048018504
156,No neutral text provided,"in early november 2004, mary and heather appeared with the rest of her family at a victory rally for the bush/cheney ticket, causing a virginia pro- family advocate to express disappointment that the bush administration would flaunt a lesbian and her partner on stage in front of supporters who view homosexuality as an immoral or unnatural choice.",0.0
157,"The winning player takes both cards of the trick and places them face down in a pile next to them, referred to as the baza.","the winning player takes both cards of the trick, and places them face down in an individual pile on the table , called the baza.",0.7037037037037037
158,No neutral text provided,"max reinhardt (september 9, 1873 - october 30, 1943) was an austrian (later nauralised american) theatre and film director and actor.",0.0
