Sample Index,Source Text,Predicted Neutral Text,True Neutral Text
62,"in a later blogpost , author jason colavito suggested that the mark described as a comma was unnecessary as a word divider as a space between the words already existed.",his interpetation of some of the tablet had been questioned by author jason colavito in a later blog post and elsewhere.,"ilater , author jason colavito suggested that the mark described as a comma was unnecessary as a word divider as a space between the words already existed."
64,"dangadi, situated in the bolba block, is a beautiful waterfall and an ideal picnic spot in simdega.","gandhamardan, also written as gandhamardan, (or sometimes rhymed as ' candy mountain' ) is a fictional hill in the child' s bedtime story regarding the childhood of hanuman, which depicts him as an overweight child of insatiable appetite.","dangadi, situated in the bolba block, is a beautiful waterfall and a popular picnic spot in simdega."
76,"since lewis bought a property in ro negro province, argentina, public access to escondido lake has been under discussion , because nobody likes to have people transiting in your own property .","since lewis bought a property in ro negro province, argentina, public access to escondido lake has been under discussion, as the only access is through his property .","since lewis bought a property in ro negro province, argentina, public access to escondido lake has been under discussion."
77,"jagged ridges, deep river canyons and rocky limestone plateaus, with vast caves beneath, make it one of the most scenic spots on earth .",watch this show at your own risk - anyone with an addictive personality is at risk of not emerging until the sun comes up and the dvd has ended .,"jagged ridges, deep river canyons and rocky limestone plateaus, with vast caves beneath, make it a highly scenic spot ."
79,"one of the most consistent arguments used against the palestinian right of return is that regardless of whatever rights the original palestinian refugees of 1948 have, the vast majority of them have since died, and the vast majority of people to whom any such return would apply to are descended from the original refugees and were not actually born in palestine (in 2012 it was estimated that of the original refugees from 1948, between 30,000 and 50,000 were still living).",the right of palestinian refugees to return to their former homes and property has been an ongoing issue for most of the post-1948 history of conflict in israel/palestine.,"one common argument used against the palestinian right of return is that regardless of whatever rights the original palestinian refugees of 1948 have, the vast majority of them have since died, and the vast majority of people to whom any such return would apply to are descended from the original refugees and were not actually born in palestine (in 2012 it was estimated that of the original refugees from 1948, between 30,000 and 50,000 were still living)."
87,"monell is the leading institute dedicated to conducting and publishing interdisciplinary basic research on taste, smell, and chemesthesis (chemically mediated skin senses, such as the burn of capsaicin or the tingle of carbonation).",the two-way flow of information between the brain and the enteric nervous system is Hansel conducted at monell .,"monell conducts and publishes interdisciplinary basic research on taste, smell, and chemesthesis (chemically mediated skin senses, such as the burn of capsaicin or the tingle of carbonation)."
90,"pak de passed away in surabaya in 1983. in order to honor his contributions to the development of silat, the government of the republic of indonesia granted him with the title of ""pendekar purna utama"".","approximately fifteen years after the art was infused with both chinese kung -fu and karate, a new form was born called silat.","pak de died in surabaya in 1983. in order to honor his contributions to the development of silat, the government of the republic of indonesia granted him with the title of ""pendekar purna utama""."
92,"picketers threw the canisters and rocks back at the police, who charged again, sending the picketers into retreat after a third assault .","the uss kearsarge arrives to enforce union demands, breaking what was a tactic of divide and conquer .","picketers threw the canisters and rocks back at the police, who charged again, sending the picketers into retreat."
94,"hezbollah committed serious violations of international humanitarian law, amounting to war crimes, in its deliberate targeting of israeli civilians during the recent conflict , amnesty international report .","the human rights watch report accused hezbollah of committing war crimes in northern israel, violating the laws of war by deliberately and systematically targeting civilian areas .","amnesty international accuses hezbollah of deliberate targeting of civilians in israel, a violations of international humanitarian law, amounting to war crimes, in during the recent conflict."
98,"o'toole has accepted the department's responsibility, however she has also blamed the punks who turned the event into a ""near-riot"".",one newspaper accused him of not understanding police service needs.,"o'toole has accepted the department's responsibility, however she has also blamed those who turned the event into a ""near-riot""."
103,the other would likely be that group's values are comically out of touch with reality.,one would likely be that the other side's values are comically out of touch with reality.,the other would probably be that group's values are out of touch with reality.
107,"the family institute of connecticut is an interdenominational, conservative 501(c)(3) non-profit dissembling organization founded in 1989. its stated goal is to encourage and strengthen the family as the foundation of society and to promote judeo-christian ethical and moral values in the culture and government of connecticut.","the family institute of connecticut is an interdenominational, conservative 501(c)(3) non-profit organization founded in 1989. its stated goal is to encourage and strengthen the family as the foundation of society and to promote judeo-christian ethical and moral values in the culture and government of connecticut.","the family institute of connecticut is an interdenominational, conservative 501(c)(3) non-profit advocacy organization founded in 1989. its stated goal is to encourage and strengthen the family as the foundation of society and to promote judeo-christian ethical and moral values in the culture and government of connecticut."
108,"asher kushnir is a well-known russian-speaking rabbi, lecturer and specialist on childrearing and family relationships.","the station is owned by radio one , who own a number of stations in the uk including london station magic 105.4 and manchester 's key 103.","asher kushnir is a russian-speaking rabbi, lecturer and specialist on childrearing and family relationships."
118,"in english, north america is often used to refer to the united states and canada exclusively.","in english, north america is often referred to as meaning the united states and canada exclusively.","in english, north america is sometimes used to refer to the united states and canada exclusively."
127,"all but one of them get engaged into revealing encounters with women, which becomes a deep study of the indian middle class.","all but one of them get engaged into revealing encounters with women, which critics consider a study of the indian middle class.","all but one of them get engaged into revealing encounters with women, which critics consider a revealing study of the indian middle class."
128,"the exponential increases in disk space and data access speeds of hdds have enabled the commercial viability of consumer products that require large storage capacities, such as the microsoft zune digital music player and the tivo personal video recorder .","the shared use of hard drive s and the exponential increases in disk space and data access speeds of hdds have enabled the commercial viability of consumer products that require large storage capacities, such as the tivo personal video recorder and digital music players .","the exponential increases in disk space and data access speeds of hdds have enabled the commercial viability of consumer products that require large storage capacities, such as the tivo personal video recorder and digital music player s ."
131,"werner smolnik, environmental movement worker, stated on april 26, 2005 that in the last four days, at least 1,000 toads have died in this shocking manner.","werner smolnik, environmental movement worker, stated on april 26, 2005 that in the last four days, at least 1,000 toads have died in these conditions .","werner smolnik, environmental movement worker, stated on april 26, 2005 that in the last four days, at least 1,000 toads have died in this manner."
134,"from 1956 until 1973, the baht was pegged to the u.s. dollar at an exchange rate of 20.8 baht = one dollar and at 20 baht = 1 dollar until 1978. a strengthening us economy caused thailand to re-peg its currency at 25 to the dollar from 1984 until july 2, 1997, when the country was stung by the 1997 asian financial crisis.",the 1997 asian financial crisis originated in thailand with the financial collapse of the thai baht.,"from 1956 until 1973, the baht was pegged to the u.s. dollar at an exchange rate of 20.8 baht = one dollar and at 20 baht = 1 dollar until 1978. a strengthening us economy caused thailand to re-peg its currency at 25 to the dollar from 1984 until july 2, 1997, when the country was affected by the 1997 asian financial crisis."
137,"he is the first to publish video footage of the cremation of care ritual, in which some of the most powerful men in the world stage the sacrifice of a human being.","jones claims the footage was of the cremation of care ritual, in which some of the most powerful men in the world stage the sacrifice of a human being.","he has published video footage purporting to be the cremation of care ritual, in which some of the most powerful men in the world allegedly stage the sacrifice of a human being."
138,"however, it is designed to, and can be , easily extended with plugins, such as devrocket, that provide support for other programming languages and web development, among other functionality.","active server pages for java (asp4j) is not endorsed by microsoft and does not use the same technology as asp; it is designed to, and can be , easily extended with plugins, such as devrocket, that provide support for other programming languages and web development, among other functionality.","however, it can be extended with plugins, such as devrocket, that provide support for other programming languages and web development, among other functionality."
139,in the 2000 election only about 54 percent of eligible voters were motivated enough to vote.,"however, more than 100 million eligible voters did not vote in the 2000 presidential election (about 46%), despite the high level of interest in the race.",in the 2000 election only about 54 percent of eligible voters actually turned out to vote.
142,a well-preserved and picturesquely situated jewish cemetery is on the outskirts of geisa.,a well-preserved and situated jewish cemetery is on the outskirts of geisa.,a well-preserved jewish cemetery is on the outskirts of geisa.
151,"analogues could be found in most other urban area settings such as the chicago democratic machine and the political racket of e. h. crump in memphis, tennessee.","along the same lines, analogues could be found in most other urban area settings such as the chicago democratic machine and the political racket of e. h. crump in memphis, tennessee.","analogues could be found in most other urban area settings such as chicago and the political racket of e. h. crump in memphis, tennessee."
154,"the junge freiheit (jf, young freedom) is a far right german weekly newspaper for politics and culture.",gleichheit (equality) is a german and austrian programmatic text and english weekly newspaper under authoritarian socialist party for politics and culture.,"the junge freiheit (jf, young freedom) is a national-conservative german weekly newspaper for politics and culture."
165,"ibm recently announced plans for an exciting new lotus quickplace 8.0, coming in 2007.",industrial eclipse was released in november 2001 and it thus superseded (in a commercial sense) the 3.0 version of the commercial formerly entirelly proprietary version (version 3.0) of the platform.,"ibm recently announced plans for lotus quickplace 8.0, coming in 2007."
168,"originally, tomas rodriguez wrote this song in the century xv in his hometown, valladolid (best town ever, by the way) .","it is also one of the traditional songs of spain, even though one of the longest running debates in the spanish culture (especially in the v region), is deciding whether valladolid or segovia in castilian-leon, spain was the birthplace of the song.","originally, tomas rodriguez wrote this song in the century xv in his hometown, valladolid."
170,"the war in donbass (also known as the war in ukraine or war in eastern ukraine , often simply referred to as ukrainian civil war ) is an ongoing armed conflict in the donbass region of ukraine.",the war in donbass (also known as the war in ukraine or war in eastern ukraine) is an ongoing armed conflict in the donbass region of ukraine.,the war in donbass (also known as the war in ukraine or war in eastern ukraine) is an ongoing armed conflict in the donbass region of ukraine.
171,talend - global leader in open source integration software,"building integrated, enterprise applications, where he worked primarily on their jbuilder product, prior to the company becoming part of borland intuitive/static border.",talend - an open source integration software
173,"the departed is a 2006 academy award-winning film directed by martin scorsese, starring leonardo dicaprio, matt damon, jack nicholson, mark wahlberg, martin sheen, alec baldwin, and ray winstone.","the departed was released in north america on october 6 , 2006 .","the departed is a 2006 film directed by martin scorsese, starring leonardo dicaprio, matt damon, jack nicholson, mark wahlberg, martin sheen, alec baldwin, and ray winstone."
174,"he was awarded the prestigious raja-lakshmi literary award for the year 1995 from sri raja-lakshmi foundation, chennai","in 2000 , he did a series on symbols found in temple s in india , winner of a national emmy award.","he was awarded the raja-lakshmi literary award for the year 1995 from sri raja-lakshmi foundation, chennai"
178,"the rainbow received much criticism when former members of the party , nicolas stoyanov (stoidis) and done katsorov (katsoris) , left the party to become leaders of the organization bulgarian human rights in macedonia, claiming to represent a bulgarian minority of greece.","the rainbow received much criticism when it was founded by former members of the organization for a mixed marriage , nicolas stoyanov (stoidis) and done katsorov (katsoris) , left the party to become leaders of the organization bulgarian human rights in macedonia, claiming to represent a bulgarian minority of greece.","former members of the party nicolas stoyanov (stoidis) and done katsorov (katsoris) became leaders of another organization - bulgarian human rights in macedonia, claiming to represent a bulgarian minority of greece."
179,"elizabeth may celebrate her diamond jubilee in 2012, marking 60 years on the thrones .","most provinces have laws that allow peaceful picketing at the homes of individuals, which legal scholars suggest would make such a law constitutionally suspect.","elizabeth may celebrate her diamond jubilee in 2012, marking 60 years as queen ."
180,"kelly is well-known for playing luther in the 1979 classic film the warriors, where he screeches the famous line, ""warriors, come out to play-ee-ay!!","kelly also appeared as luther in the 1979 film the warriors, where he screeches the famous line, ""warriors, come out to play-ee-ay!!","kelly is well-known for playing luther in the 1979 film the warriors, where he screeches the famous line, ""warriors, come out to play-ee-ay!!"
185,"however, during media interviews palin showed she lacked knowledge on certain key issues, and that cast doubt among many voters about her qualifications to be vice president or president.","palin's interviews showed uncertainty on certain key issues, that became a concern among some voters about her qualifications to be vice president or president.","however, media interviews suggested that palin lacked knowledge on certain key issues, and they cast doubt among many voters about her qualifications to be vice president or president."
187,"superior states were wyoming, nevada, and south dakota.","the friendliest was wyoming, nevada, and south dakota.","more ""friendly"" states were wyoming, nevada, and south dakota."
190,"kippers are falsely claimed to have been invented by john woodger at seahouses in northumberland, england around 1843. local legend states that this happened accidentally, when fish for processing was left overnight in a room with a smoking stove.","the traditional english breakfast became popular during the victorian era, when a substantial meal before work became a typical norm for the english masses.","kippers are claimed to have been invented by john woodger at seahouses in northumberland, england around 1843. local legend states that this happened accidentally, when fish for processing was left overnight in a room with a smoking stove."
194,the evolutionist position has been at the center of many social and religious controversies since its inception because of its potential implications for the origins of humankind.,"popcorn, a traditional foodstuff for the event, is sugared and wrapped in cellophane .","although there is overwhelming scientific consensus supporting the validity of evolution, it has been at the center of many social and religious controversies since its inception because of its potential implications for the origins of humankind."
196,"strong disapproval of disco among some rock fans, for whom disco was a mirror on their absence of character and talent , existed throughout the disco era, growing as disco's influence grew, such that the expression ""disco sucks"" was common by the late-1970s among these fans.","many fans of rock music also became disaffected with the move towards disco, which was seen as a ""soulless"" form of music that disregarded the basic roots of rock and roll , existing throughout the disco era, growing as disco's influence grew, such that the expression ""disco sucks"" was common by the late-1970s .","strong disapproval of disco among some rock fans, many of whom are thought to have disapproved of the percieved black and gay overtones of disco music , existed throughout the disco era, growing as disco's influence grew, such that the expression ""disco sucks"" was common by the late-1970s among these fans."
201,"joseph edward macmanus (may 23 1970 – february 5 1992), was a volunteer within the sligo brigade of provisional irish republican army (ira).",the group's members were captured by the colombian military following a failed attempt to sell a large stockpile of weapons to farc rebels .,"joseph edward macmanus (may 23 1970 – february 5 1992), was a member of the sligo brigade of provisional irish republican army (ira)."
205,"the palestinian territories are one of a number of designations for those portions of the british mandate of palestine captured and occupied by jordan and by egypt in the late 1940s, and captured by israel in the 1967 six-day war.","the palestinian territories are one of a number of designations for those portions of the british mandate of palestine captured and controlled by jordan and by egypt in the late 1940s, and captured by israel in the 1967 six-day war.","the palestinian territories are one of a number of designations for those portions of the british mandate of palestine captured and occupied by jordan and by egypt in the late 1940s, and relinquished to israel in the 1967 six-day war."
207,the campus is located along the not so scenic flint river on property that used to be the main manufacturing location for general motors.,"when boesky began down his path of deception, he was one of the most successful wall street financiers .",the campus is located along the flint river on property that used to be the main manufacturing location for general motors.
211,"hofstra became the center of national controversy in september 2009 when an eighteen year old student, danmell ndonye, accused five men of gang raping her in a hofstra dormitory bathroom.","the december 18, 1926 headline on the taper read ""ribs yale in parody at committee dinner"" and quoted forum (which adopted the joker as their symbol) member robert gordon sproul as saying, ""the men who sat at one end of the table were smoking and joking.","events at hofstra attracted the attention of national news media in september 2009 when an eighteen year old student, danmell ndonye, accused five men of gang raping her in a hofstra dormitory bathroom."
214,"in the recent movement, gibson has identified ""liberals,"" ""secular progressives,"" the aclu, the anti-defamation league, and americans united for separation of church and state as the forces behind the attack, while o'reilly has focused more narrowly on the aclu and billionaire financier george soros .","in the recent movement, gibson has identified ""liberals,"" ""secular progressives,"" the aclu, the anti-defamation league, and americans united for separation of church and state as the forces behind the attack, while o'reilly has focused more on the aclu.","in the recent movement, gibson has identified ""liberals,"" ""secular progressives,"" the aclu, the anti-defamation league, and americans united for separation of church and state as the forces behind the attack, while o'reilly has focused more on the aclu."
223,"texas media watch, a cover entity run by republican media consultant sherry sylvester, called the memo an example of ""orchestrated bias.""","carnival of responsive democracy: a 'rapid response' bi-weekly newsletter /we say weekly launched during the 2004 election cycle as a response to what its creators called a ""monopoly on political news coverage by the conservative media "" .","texas media watch, a media watchdog group run by republican media consultant sherry sylvester, called the memo an example of ""orchestrated bias."""
225,"even though this film won a national award, doordarshan was forced to cancel a scheduled a tv screening and the tamil press ignored the film as the brahmin lobby tried to have the film banned .",however some have charged that the film is one-sided in that it portrays tamil terrorists as villains while portraying tamil non-combatants in a sympathetic light.,"even though this film won a national award, doordarshan was forced to cancel a scheduled a tv screening due to protests ."
226,"throughout this book, lry describes his fascinating voyage across the atlantic to brazil.",cade describes the fascinating voyage across the atlantic to brazil.,"throughout this book, lry describes his voyage across the atlantic to brazil."
227,"irreducible complexity is the discredited argument that certain biological systems are too complex to have evolved from simpler, or ""less complete"" predecessors.","irreducible complexity is the argument that certain biological systems are too complex to have evolved from simpler, or ""less complete"" predecessors.","irreducible complexity is the creation science argument that certain biological systems are too complex to have evolved from simpler, or ""less complete"" predecessors."
232,"by the 1890s, german colonial expansion in asia and the pacific (kiauchau in china, the marianas, the caroline islands, samoa) led to frictions with britain, russia, japan and the u.s. the largest colonial enterprises were in africa, where the harsh treatment of the nama and herero in what is now namibia in 190607 led to charges of genocide against the germans.","in 1904, the herero tribe rebelled against german colonial rule, and – led by samuel maharero – inflicted significant casualties upon the colonial troops. in august 1904, in the battle of waterberg , the herero inflicted 674 casualties upon the german troops. the herero would ultimately lose, with the german forces, strengthened by new reinforcements, going on to defeat the herero in the battle of hamakari , and later driving the majority of them – and troops of the nama tribe, also involved in the uprising – into the kalahari desert .","by the 1890s, german colonial expansion in asia and the pacific (kiauchau in china, the marianas, the caroline islands, samoa) led to frictions with britain, russia, japan and the u.s. the largest colonial enterprises were in africa, where the extermination of the nama and herero in what is now namibia in 190607 led to herero and namaqua genocide against the germans."
241,"methodological naturalism (mn) refers to any method of inquiry or investigation or any procedure for gaining knowledge that uses only natural, physical, and material approaches and explanations.",philosophical naturalism (pn) is a philosophical basis for methodological naturalism .,"methodological naturalism (mn) refers to methods of inquiry , investigation , and gaining knowledge that use only natural, physical, and material approaches and explanations."
246,"the reasons for the protests may include supporting the olympics and protesting against the "" media bias "" also caused by overcovering the tibetan protests.",the reasons for the protests may include supporting the olympics and protesting against the media portrayal of violence around the tibetan protests.,"the reasons for the protests may include supporting the olympics and protesting against percieved media bias , which may also be a result of the media's over-coverage the tibetan protests."
247,"this conference was generously sponsored by the open society institute, the john d. and catherine t. macarthur foundation, the university of illinois at chicago university library and the maastricht economic research institute on innovation and technology (merit), university of maastricht.","in contrast to some conferences , the organizers stated the intention of the conference was to bring together ""to promote an evidence-based discussion on how to reduce the risk of human extinction.""","this conference was sponsored by the open society institute, the john d. and catherine t. macarthur foundation, the university of illinois at chicago university library and the maastricht economic research institute on innovation and technology (merit), university of maastricht."
251,"his defection immediately resulted in the ukraine launching a treason case against him, and the appointment of serhiy hayduk as his successor.","however, the russian government's own human rights watchdog committee for north caucasus, which had earlier spent a year investigating claims that russia had attacked georgia on 7 august 2008 , dismissed mr dittinger's claims , in an extensive report, issued on 19 september 2009.","his defection immediately resulted in the self-declared kiev government launching a treason case against him, and the appointment of serhiy hayduk as his successor."
254,"soon thereafter, russian troops under authorization from vladimir putin mobilized throughout the crimean peninsula, fully occupying the peninsula .","soon thereafter, russian troops under authorization from vladimir putin mobilized throughout the crimean peninsula .","soon thereafter, russian troops under authorization from vladimir putin mobilized throughout the crimean peninsula, taking full military control ."
256,"it has a dosage ceiling similar to codeine, a risk of seizures when overdosed, and a relatively long half-life making its potential for abuse relatively low amongst intermediate strength analgesics.","it has a dosage ceiling similar to codeine, a risk of seizures when overdosed, and a relatively long half-life making its potential for addiction relatively low amongst intermediate strength analgesics.","it has a dosage ceiling similar to codeine, a risk of seizures when overdosed, and a relatively long half-life making its potential for misuse relatively low amongst intermediate strength analgesics."
257,he attended the prestigious julia r. masterman high school for middle school and high school.,"grosvenor wrote under that name for several years at the college newspaper, the yale record .",he attended julia r. masterman high school for middle school and high school.
259,scotland is a nation famous for it's glorious weather and long golden beaches and one of the four constituent countries of the united kingdom.,scotland is a nation and one of the four constituent countries of the united kingdom.,scotland is a nation in northwest europe and one of the four constituent countries of the united kingdom.
278,"the local derby between the city's two principal basketball clubs, fortitudo and virtus (often called after the clubs' principal sponsors), is one of the most intense in the entire world of sports .","during the christmas period the most important event is the local basketball derby between the city's two principal basketball clubs, fortitudo and virtus (often called after the clubs' principal sponsors), .","the local derby between the city's two principal basketball clubs, fortitudo and virtus (often called after the clubs' principal sponsors), is intense."
283,"hs first full length stage play was produced during the summer of 2009 , to critical and popular acclaim .","critics of both the novel and the film have argued that politically 1997 seems dated, citing the growing problems of the european union (eu) as evidence that, far from collapsing as depicted in the book, britain's influence has been renewed.",hs first full length stage play was produced during the summer of 2009.
284,"yet, to date, no one is known to have succeeded in using any specific quatrain to predict any event whatsoever in advance.","nostradamus's work has been interpreted by very many scholars since its publication, with widely varying conclusions. it has been suggested that his descriptions of a future war corresponds to a 'world war'.","to date, no one is known to have succeeded in using any specific quatrain to predict any particular event in advance."
286,"the vice-president, ali belhadj, a younger and less educated algiers preacher who had already played a significant role in the october demonstrations, made aggressively radical speeches that rallied dissatisfied lower-class youth and alarmed non-islamists with his clear-cut rejection of democracy and repressive views on women.","the vice-president, ali belhadj, a younger and less educated algiers preacher who had already played a significant role in the october demonstrations, made aggressively radical speeches that rallied dissatisfied lower-class youth and alarmed non-islamists with his clear-cut rejection of democracy and views on women.","the vice-president, ali belhadj, a younger and less educated algiers preacher who had already played a significant role in the october demonstrations, made aggressively radical speeches that rallied dissatisfied lower-class youth and alarmed non-islamists with his clear-cut rejection of democracy and conservative views on women."
289,unfortunately dvds of the series have yet to be released — and all of the above videos (apart from the final three) are now deleted and not available in shops (although some might be still available from online distributors).,"eventually tigan comes to accept her 'unique' talents , and herself as a 'freak' .",dvds of the series have yet to be released — and all of the above videos (apart from the final three) are now deleted and not available in shops (although some might be still available from online distributors).
292,"river song is a companion who has traveled with the doctor on multiple occasions, in his relative future, and in her relative past.","captain jack harkness, formerly a companion of the doctor, is androgynous and also time agency agent from the 51st century earth who eventually becomes the head of the time agency.","river song is a companion who travels with the doctor on multiple occasions, in his relative future, and in her relative past."
294,"islamofascism is a term used to describe the ideologies and tactics of certain modern islamist movements and states that have or are perceived to have fascist, neofascist, or totalitarian aspects.","islamofascism is a term used to describe the ideologies and tactics of certain modern islamist movements and states that have fascist, neofascist, or totalitarian aspects.","islamofascism is a term used to describe the ideologies and tactics of certain modern islamist movements and states that allegedly have fascist, neofascist, or totalitarian aspects."
313,it is often used as a rough indication of the destructive potential of a given firearm or load.,"the scale measures from 800 to 950 for every caliber of firearm; the higher the number, the greater the stopping power, for all calibers of firearm: from .32 to .45 acp.",it is often used as a rough indication of the potential for a given firearm or load.
320,"many countries import domestic workers from abroad, usually poorer countries, through recruitment agencies and brokers because their own nationals are no longer obliged or inclined to work in underpaid, difficult or exploitive jobs .","many countries import domestic workers from abroad, usually poorer countries, through recruitment agencies and brokers , because their own nationals do longer seek such work, as it is poorly paid, difficult and sometimes exploitative .","many countries import domestic workers from abroad, usually poorer countries, through recruitment agencies and brokers because their own nationals are no longer obliged or inclined to do domestic work ."
326,"its election was considered controversial by many, given the poor human rights record of china.",a major criticism of the hrc is that some of its member nations have less than stellar human rights records themselves.,"its election was considered controversial by many, given what anti-china forces consider their "" poor "" human rights record of china."
334,"in apparent culmination of the investigation which began in 2003, on april 28, 2006, limbaugh turned himself in to the palm beach county, fl sheriff's office to be booked on a single criminal charge that he illegally obtained about 40 prescription pills by ""doctor shopping,"" or illegally deceiving multiple doctors.","on april 28, 2006, limbaugh turned himself in to the palm beach county, fl sheriff's office to be booked on a single criminal charge that he fraudulently deceived multiple doctors to obtain prescription drugs, often by pretending that he was seeking the drug for a nonexistent condition.","on april 28, 2006, limbaugh turned himself in to the palm beach county, fl sheriff's office to be booked on a single criminal charge that he illegally obtained about 40 prescription pills by ""doctor shopping,"" or illegally deceiving multiple doctors."
336,alleged khazar ancestry of ashkenazi jews,alleged khazar ancestry of ashkenazi jews,theory of khazar ancestry of ashkenazi jews
338,"showing great moral courage, he took full responsibility for the complacency and failures in the foreign and commonwealth office to foresee this development and resigned.","the department thus demonstrated a great bias in favor of the arab nations, and a clear antagonism against israel.",he took full responsibility for the complacency and failures in the foreign and commonwealth office to foresee this development and resigned.
341,"it should also be noted , that private car ownership or access is not yet universal in hungary, as many of the lower class city-dwellers and villagers rely on public transport exclusively.","therefore , the extent to which the imf or world bank must approve the actions of such a government could be a contentious issue dpending upon your perspective.","it should also be noted that private car ownership or access is not universal in hungary, as many of the lower class city-dwellers and villagers rely on public transport exclusively."
